"station_complex_id","station","borough","nta2020","nta_ratio","in_hi","in_six","entries","d_rr","d_rr18","d_rr21","team_score","y_250","y_250_no_top1","y_250_no_subloc","y_400","y_400_no_top1","y_400_no_subloc","y_600","y_600_no_top1","y_600_no_subloc","pop_250","pop_400","pop_600","area_km2_250","area_km2_400","area_km2_600"
354,"Sterling St (2,5)","Brooklyn","BK0902",1.18897658462277,FALSE,FALSE,1315715,115.475794803374,1291.40856062398,2077.91624879544,25.0707547169811,0,0,0,0,0,0,0,0,0,5178.97907604031,10667.590275362,15636.3820907619,0.196259835911005,0.44103461861918,0.655183415799551
355,"Winthrop St (2,5)","Brooklyn","BK0902",1.18897658462277,FALSE,FALSE,1813383,252.001119943413,1183.20457978499,1798.53942687627,39.5990566037736,1,1,1,2,2,2,2,2,2,4238.79785983017,10045.2182293471,14479.9726372419,0.196259835911037,0.46058604936982,0.696923571654576
356,"Church Av (2,5)","Brooklyn","BK1701",1.14396953275006,FALSE,FALSE,2203459,566.053130281165,1415.05230838857,1749.4348997661,72.5825471698113,4,4,3,7,7,6,7,7,6,5335.13240716493,11890.6866566907,17579.7766700524,0.196259835911076,0.451833201200081,0.719012598772406
357,"Beverly Rd (2,5)","Brooklyn","BK1701",1.14396953275006,FALSE,FALSE,1074752,754.196272515856,1850.3055660979,1927.11006923906,56.4268867924528,3,3,3,5,5,5,6,6,6,4119.34631018303,8978.02923428612,12919.7594054775,0.196259835911072,0.432388559104274,0.694305606216585
358,"Newkirk Av-Little Haiti (2,5)","Brooklyn","BK1702",1.07127926197003,FALSE,FALSE,1643460,190.582297467617,2233.50720308113,2233.50720308113,34.7051886792453,2,2,1,3,3,2,3,3,2,4845.44654566632,11198.3144667853,18226.1811592099,0.196259835911,0.458332149203783,0.76863526809106
359,"Flatbush Av-Brooklyn College (2,5)","Brooklyn","BK1401",0.65912981347675,FALSE,FALSE,4169321,323.480272348342,2801.71425597446,2801.71425597446,59.7051886792453,4,4,4,6,6,6,8,8,8,4014.3469823833,9336.39370860433,16157.2717615657,0.19625983591105,0.502284245638405,1.00445289513696
360,"Pelham Bay Park (6)","Bronx","BX1003",1.13940737787388,FALSE,FALSE,1300991,299.954694954508,1952.19281283266,1952.19281283266,33.4905660377358,0,0,0,0,0,0,0,0,0,2126.55590271482,4500.75856913612,5923.80382490372,0.196259835909032,0.494938522416131,0.974912105937995
361,"Buhre Av (6)","Bronx","BX1003",1.13940737787388,FALSE,FALSE,790818,480.339672597194,1224.71344028968,1224.71344028968,30.377358490566,1,1,1,1,1,1,1,1,1,3700.06955430873,7482.71169414847,10029.5821949663,0.193165284993515,0.415429241503197,0.676100507102312
362,"Middletown Rd (6)","Bronx","BX1003",1.13940737787388,FALSE,FALSE,428827,711.764103361654,813.970500720214,813.970500720214,41.4033018867924,1,1,1,1,1,1,1,1,1,1916.21080329214,3319.62265300124,5186.31993069582,0.193165284992715,0.412147854798087,0.666975812149961
363,"Westchester Sq-E Tremont Av (6)","Bronx","BX1001",0.902998016185007,FALSE,FALSE,993324,262.809646412613,337.126809584261,522.612790703609,23.8561320754717,0,0,0,1,1,1,1,1,1,1502.71784346033,2990.89274437638,4881.42583615433,0.195505562857381,0.416197484639538,0.671313974422476
364,"Zerega Av (6)","Bronx","BX1001",0.902998016185007,FALSE,FALSE,511586,278.591759142128,488.091182794993,681.009594526701,13.6910377358491,0,0,0,0,0,0,0,0,0,2159.54364252635,3867.08566360522,5796.17229486542,0.190355947299431,0.353324503831933,0.550335584520478
365,"Castle Hill Av (6)","Bronx","BX1001",0.902998016185007,FALSE,FALSE,1301576,420.012705061063,603.689608270546,1057.54324643057,40.0235849056604,3,3,3,3,3,3,3,3,3,3403.02037487749,7122.81770226793,13019.710026532,0.190355947298589,0.414813048500793,0.702182950256942
366,"Parkchester (6)","Bronx","BX0903",0.930234952414123,FALSE,FALSE,2834403,169.13350413363,217.465162842502,1874.01505409008,44.7641509433962,0,0,0,0,0,0,6,6,6,5031.71114249351,12655.5825166326,21826.3335439365,0.196259835910761,0.46725490960339,0.795681346217643
367,"St Lawrence Av (6)","Bronx","BX0901",1.29308353027416,FALSE,FALSE,934164,302.551720860472,646.860246343534,2473.60910103691,24.6698113207547,1,1,1,4,4,4,4,4,4,4332.97005999858,9693.3417361548,15055.5598531965,0.196259835911001,0.436958162442368,0.702486011119713
368,"Morrison Av-Soundview (6)","Bronx","BX0901",1.29308353027416,FALSE,FALSE,1337645,68.1630128833329,68.1630128833329,2061.0380387794,24.3985849056604,2,2,2,4,4,4,9,9,9,5230.50884231901,9839.25953390889,14947.0557534218,0.186798721149214,0.375659390499288,0.59437982296548
369,"Elder Av (6)","Bronx","BX0901",1.29308353027416,FALSE,FALSE,1397012,382.922737355326,382.922737355326,1813.80875943966,40.4599056603774,2,2,2,4,4,4,4,4,4,7180.03892567498,13108.1467892145,18949.9772252821,0.186798721149204,0.380522900010386,0.604517703973043
370,"Whitlock Av (6)","Bronx","BX0202",0.852152132216302,FALSE,FALSE,392495,464.978127569563,1025.32715224352,1628.39796998302,21.2971698113208,1,1,1,2,2,2,2,2,2,4179.34609710301,8133.83183075646,9647.80330819696,0.196259835911104,0.411634349848173,0.525684044246066
371,"Hunts Point Av (6)","Bronx","BX0202",0.852152132216302,FALSE,FALSE,2245378,266.14795730551,1487.76750648438,2104.91200405394,45.377358490566,0,0,0,2,2,2,3,3,3,4208.48478625707,7279.12264651089,9290.22153869221,0.187073776314138,0.37371671629778,0.559503223691435
372,"Longwood Av (6)","Bronx","BX0202",0.852152132216302,FALSE,FALSE,670708,204.181923167103,1743.71533815378,2611.22926671097,14.5872641509434,1,1,1,1,1,1,1,1,1,4440.88715586284,8611.92867343185,9458.61689015631,0.196259835908794,0.44388624661943,0.644052311408634
373,"E 149 St (6)","Bronx","BX0202",0.852152132216302,FALSE,FALSE,1023256,434.330098835914,1712.33038550302,2464.75899824249,34.0683962264151,0,0,0,0,0,0,0,0,0,5108.85551824428,8887.48814384161,9170.83182670225,0.195463721813421,0.388347711085869,0.508285881373773
374,"E 143 St-St Mary's St (6)","Bronx","BX0101",0.625636604888906,FALSE,FALSE,418507,274.392159547624,1447.5808020159,1988.27070722755,11.8278301886792,0,0,0,0,0,0,0,0,0,3723.6190304965,5592.92722356357,6093.29133245013,0.195463721813665,0.409016828010803,0.636906377005749
375,"Cypress Av (6)","Bronx","BX0101",0.625636604888906,FALSE,FALSE,611022,274.577853705058,1113.74848369943,1432.533266055,16.8396226415094,1,1,1,2,2,2,2,2,2,5392.18194097438,8259.08967548617,9085.9363221915,0.196259835911063,0.415419070228208,0.666332512510466
376,"Brook Av (6)","Bronx","BX0101",0.625636604888906,FALSE,FALSE,1099074,150.224481585931,623.373276186804,1614.56503561518,21.3561320754717,1,1,1,2,2,2,3,3,3,6486.08792719611,11864.2373230965,14325.6649397807,0.196259835911032,0.417764945417621,0.621233088123592
377,"3 Av-138 St (6)","Bronx","BX0101",0.625636604888906,FALSE,FALSE,1838710,193.796108823519,193.796108823519,2028.68740720589,37.4646226415094,1,1,0,2,2,1,2,2,1,5664.68636091654,10240.7110963993,12782.3542231402,0.191151985788934,0.39678464295284,0.574227032394051
378,"Woodlawn (4)","Bronx","BX0703",0.304078277334477,FALSE,FALSE,1426724,355.176177254856,473.516409740165,1035.33617345656,39.7169811320755,1,1,1,2,2,2,2,2,2,2154.16075389522,3976.56983472698,6129.67697327374,0.196259835910134,0.502425179929179,1.03165423959439
379,"Mosholu Pkwy (4)","Bronx","BX0703",0.304078277334477,FALSE,FALSE,1494474,506.94222702124,796.391813246155,1695.50968019064,62.6179245283019,1,1,1,3,3,3,3,3,3,3582.24989095753,8805.18654556157,12071.29842889,0.19625983591104,0.491248564303528,0.763512708733641
380,"Bedford Park Blvd-Lehman College (4)","Bronx","BX0702",0.776149771718753,FALSE,FALSE,1117629,304.153469334257,989.997480144283,2471.89664346665,29.6816037735849,0,0,0,1,1,0,1,1,0,2036.61862503071,4774.50350403954,5522.96373629587,0.157219898982328,0.346344166915189,0.542797713670663
381,"Kingsbridge Rd (4)","Bronx","BX0702",0.776149771718753,FALSE,FALSE,1888573,280.978893740444,369.459265341468,3099.30172233297,42.877358490566,0,0,0,0,0,0,0,0,0,5647.74954730039,11158.3131138861,17383.108988037,0.172354439816237,0.348011687192274,0.549008688518151
382,"Fordham Rd (4)","Bronx","BX0701",0.916765475120105,FALSE,FALSE,2082445,340.786162178769,550.583031360828,2626.36481927537,47.688679245283,0,0,0,3,3,3,4,4,4,6607.82364168135,11843.1864166655,15511.5484764684,0.172858850939448,0.310424612701743,0.445620063985268
383,"183 St (4)","Bronx","BX0503",0.724364867481836,FALSE,FALSE,1186637,347.37622003861,471.142271853025,2217.93419076799,32.9834905660377,1,1,1,1,1,1,1,1,1,8144.74497044174,13462.4030828847,17668.5462996619,0.181079154257348,0.314839710009805,0.434896471342161
384,"Burnside Av (4)","Bronx","BX0501",0.373088451924141,FALSE,FALSE,1972760,462.4274114619,462.4274114619,1667.90691726481,52.6768867924528,0,0,0,0,0,0,1,1,1,6944.25661057633,12456.5634271891,15888.226951829,0.185521342359209,0.349385559831634,0.487052921779069
385,"176 St (4)","Bronx","BX0501",0.373088451924141,FALSE,FALSE,1217229,492.327370575868,516.940369780585,1015.78718754146,40.377358490566,0,0,0,1,1,0,2,2,1,5966.29065744742,10475.8010590699,16050.7096472574,0.172107149814671,0.305878224360129,0.437622905764037
386,"Mt Eden Av (4)","Bronx","BX0403",0.637748685408992,FALSE,FALSE,1008520,390.847072062193,390.847072062193,504.813745867309,31.8867924528302,1,1,1,1,1,1,1,1,1,6075.63341351206,10498.0430513377,14411.3878448645,0.188594820816483,0.316611155293483,0.42898748603552
387,"170 St (4)","Bronx","BX0403",0.637748685408992,FALSE,FALSE,1619634,51.7511381633269,51.7511381633269,51.7511381633269,29.1391509433962,1,1,1,1,1,1,1,1,1,5966.90364556709,10914.488961409,15258.7944234442,0.182932207245346,0.318355140970928,0.435217495771215
388,"167 St (4)","Bronx","BX0401",0.899342485336271,FALSE,FALSE,1960736,325.305587743404,325.305587743404,633.939152074608,45.813679245283,1,1,1,3,3,3,5,5,5,6552.85044148604,11464.3633035889,17501.5523334877,0.171778483290294,0.337593618966083,0.537238361153319
391,"138 St-Grand Concourse (4,5)","Bronx","BX0101",0.625636604888906,FALSE,FALSE,949171,466.628619358365,495.389972006501,2422.341059187,33.1014150943396,0,0,0,0,0,0,1,1,1,2407.87636087533,4307.02098375881,6774.02992811285,0.187090613168953,0.317820204780988,0.413441612815919
392,"125 St (4,5,6)","Manhattan","MN1102",2.9956467076955,TRUE,TRUE,5914319,262.301603436525,262.301603436525,1995.83345098294,61.3797169811321,14,14,13,62,37,61,62,37,61,4058.26221044456,9785.40054121135,16130.4382138346,0.196259835911026,0.488090454159178,0.78544634923701
393,"116 St (6)","Manhattan","MN1102",2.9956467076955,TRUE,TRUE,3141079,546.914248309601,751.530390216935,2007.72807044032,79.1627358490566,10,10,8,14,14,12,16,16,14,7840.99464541239,15425.2584458866,19968.9716580642,0.193461811672838,0.409408654384925,0.555365638780951
