"nta2020","ntaname","n_tracts","boroname","n_boroughs","pop_total","households","pop_65plus","pop_disabled","pov_below","pov_universe","dis_universe","med_hh_income_hhwtd","inc_tracts_used","poverty_rate","pct_65plus","disability_rate","events_311_raw","events_311","events_per_100k","ntatype","cdta2020","is_residential","restrooms","subway_riders","n_stations","jobs","hotels","area_sqmi","pop_density","jobs_density","l_sub","l_jobs","l_hotel","l_rest","l_dens","inc10k","pov","old","boro","pred","resid_ratio"
"BK1403","Midwood",16,"Brooklyn",1,49291,18462,10023,6970,8126,48857,49096,73279,16,0.1663221237489,0.203343409547382,0.14196675900277,26,8,16.2301434338926,0,"BK14",TRUE,2,3260758,3,16643,1,1.15568002326756,42651.0790250011,14401.0449821082,8.09002159281396,2.87033910414593,0.693147180559945,1.09861228866811,10.6608312979217,7.3279,16.63221237489,20.3343409547382,"Brooklyn",14.3698909437609,0.556719604296887
"BK1501","Gravesend (East)-Homecrest",18,"Brooklyn",1,50032,17602,8330,5114,9665,49727,50030,71697,18,0.194361212218714,0.166493444195715,0.102218668798721,20,9,17.9884873680844,0,"BK15",TRUE,3,1646951,3,17669,0,1.25114379323789,39989.0086738313,14122.2776274769,7.40728797701767,2.92686439425519,0,1.38629436111989,10.5963849187408,7.1697,19.4361212218714,16.6493444195715,"Brooklyn",14.3738074772166,0.626138899819381
"BK1502","Madison",15,"Brooklyn",1,38197,14724,8635,4153,6362,38007,38077,73484,15,0.167390217591496,0.22606487420478,0.10906846652835,26,11,28.7980731471058,0,"BK15",TRUE,4,6041117,2,15331,0,0.982092323806968,38893.4920618601,15610.5486504274,8.70650972620799,2.79306514209461,0,1.6094379124341,10.5686079273413,7.3484,16.7390217591496,22.606487420478,"Brooklyn",9.66610288378764,1.13799740518484
"BK1503","Sheepshead Bay-Manhattan Beach-Gerritsen Beach",20,"Brooklyn",1,64244,26383,15522,9008,9465,63484,63489,75858,20,0.149092684770966,0.241610111450097,0.141882845847312,23,10,15.5656559367412,0,"BK15",TRUE,9,3827931,2,30495,5,2.27310614151368,28262.6485524427,13415.5635951488,8.25034093094407,3.44982880307389,1.79175946922805,2.30258509299405,10.2493317545024,7.5858,14.9092684770966,24.1610111450097,"Brooklyn",21.0867604160427,0.474231214406555
"BK1601","Ocean Hill",10,"Brooklyn",1,39942,15700,5645,5824,9551,39837,39918,62458,10,0.239751989356628,0.141329928396174,0.145899093140939,21,8,20.029042111061,0,"BK16",TRUE,2,5330530,4,6374,8,0.720618331200196,55427.3993189658,8845.18159478964,8.58139353037666,1.99796029981195,2.19722457733622,1.09861228866811,10.9228473644751,6.2458,23.9751989356628,14.1329928396174,"Brooklyn",14.0742832864489,0.568412603127196
"BK1602","Brownsville",14,"Brooklyn",1,59014,21897,7866,11179,22010,58728,58919,38936,13,0.374778640512192,0.133290405666452,0.189735059997624,28,10,16.945131663673,0,"BK16",TRUE,6,6120131,7,7689,7,1.10429510578074,53440.4252007228,6962.81271170159,8.7195021623538,2.16205785785707,2.07944154167984,1.94591014905531,10.8863414770301,3.8936,37.4778640512192,13.3290405666452,"Brooklyn",17.8290285097385,0.560883056221366
"BK1701","East Flatbush-Erasmus",11,"Brooklyn",1,42375,17556,6583,4655,7076,41780,41984,73723,11,0.169363331737674,0.155351032448378,0.110875571646341,26,15,35.3982300884956,0,"BK17",TRUE,0,3351732,2,7588,1,0.709185445703963,59751.6492430792,10699.599161215,8.11753081484947,2.15036588001653,0.693147180559945,0,10.9979688076071,7.3723,16.9363331737674,15.5351032448378,"Brooklyn",13.1122373197655,1.14396953275006
"BK1702","East Flatbush-Farragut",14,"Brooklyn",1,34025,12398,7520,4515,4402,33869,34005,84808,13,0.129971360240928,0.221013960323292,0.132774591971769,15,9,26.4511388684791,0,"BK17",TRUE,3,1584885,1,6956,1,0.865254069417233,39323.7098820194,8039.25719145708,7.3688978901081,2.07392636099173,0.693147180559945,1.38629436111989,10.5796083504554,8.4808,12.9971360240928,22.1013960323292,"Brooklyn",8.40117074930533,1.07127926197003
"BK1703","East Flatbush-Rugby",16,"Brooklyn",1,36352,14124,7385,4175,6138,35699,35883,71290,16,0.171937589288215,0.203152508802817,0.116350360895131,34,18,49.5158450704225,0,"BK17",TRUE,3,0,0,5682,1,0.975852046022332,37251.5486831988,5822.60397276451,0,1.89941734393456,0.693147180559945,1.38629436111989,10.5254756424926,7.129,17.1937589288215,20.3152508802817,"Brooklyn",5.78675487861987,3.11055166108798
"BK1704","East Flatbush-Remsen Village",9,"Brooklyn",1,38240,14510,6891,5121,8335,37475,37685,62550,8,0.22241494329553,0.180203974895397,0.135889611251161,21,3,7.84518828451883,0,"BK17",TRUE,3,0,0,4405,1,0.659676227619741,57967.830882702,6677.51817568783,0,1.68732445109117,0.693147180559945,1.38629436111989,10.9676607465041,6.255,22.241494329553,18.0203974895397,"Brooklyn",5.90658936081159,0.507907324640524
