"nta2020","ntaname","pop_total","resid_ratio","oath","c311"
"QN0201","Long Island City-Hunters Point",30464,0.475457483451714,29,14
"QN0202","Sunnyside",46879,0.923430257631294,4,19
"QN0203","Woodside",46947,1.68068351156525,12,31
"QN0301","Jackson Heights",93975,1.27526166930574,858,42
"QN0302","East Elmhurst",29093,3.56907857075615,29,32
"QN0303","North Corona",38521,1.19568938627747,720,16
"QN0401","Elmhurst",100015,1.19460713733666,430,38
"QN0402","Corona",67341,1.73845011142812,214,40
"QN0501","Maspeth",40680,0.861480919917469,2,7
"QN0502","Ridgewood",66747,1.03430112144278,105,27
"QN0503","Glendale",35585,1.37342505752821,7,9
"QN0504","Middle Village",34057,0.940234420247029,1,1
"QN0601","Rego Park",29744,0.502011439755258,0,3
"QN0602","Forest Hills",93621,0.678829299737883,13,14
"QN0701","College Point",30120,0.109075373876446,7,0
"QN0702","Whitestone-Beechhurst",29547,1.21653413293349,5,3
"QN0703","Bay Terrace-Clearview",23195,0.59849545686017,0,0
"QN0704","Murray Hill-Broadway Flushing",53912,1.32287647715592,12,6
"QN0705","East Flushing",30771,2.07252544671069,3,8
"QN0706","Queensboro Hill",20405,0.693566116131396,0,2
"QN0707","Flushing-Willets Point",61079,0.425381914960547,119,7
"QN0801","Kew Gardens Hills",35598,0.313715707709646,6,1
"QN0802","Pomonok-Electchester-Hillcrest",34432,0.22178388731128,17,1
"QN0803","Fresh Meadows-Utopia",20679,0.968504049811665,0,4
"QN0804","Jamaica Estates-Holliswood",23270,1.48554662877733,1,4
"QN0805","Jamaica Hills-Briarwood",37121,0.578311529968048,10,5
"QN0901","Kew Gardens",24548,1.058200104346,2,9
"QN0902","Richmond Hill",32785,0.69981512310411,64,8
"QN0903","South Richmond Hill",23493,1.11497548318046,5,3
"QN0904","Ozone Park (North)",25562,1.2103423170277,40,3
"QN0905","Woodhaven",39914,0.192959528793792,12,2
"QN1001","South Ozone Park",80840,1.02259378552554,86,21
"QN1002","Ozone Park",23862,0.9262586697292,6,7
"QN1003","Howard Beach-Lindenwood",31308,0.152629223781234,1,0
"QN1101","Auburndale",34216,1.22225627560836,1,6
"QN1102","Bayside",35395,0.791966348312518,27,5
"QN1103","Douglaston-Little Neck",25623,0.405230596691014,2,1
"QN1104","Oakland Gardens-Hollis Hills",24840,0.439029143783772,0,1
"QN1201","Jamaica",56742,1.16161668859408,192,32
"QN1202","South Jamaica",42675,1.13150215449756,18,10
"QN1203","Baisley Park",43885,0.924324256794579,35,8
"QN1204","Springfield Gardens (North)-Rochdale Village",33511,0.926758225473869,4,6
"QN1205","St. Albans",54727,0.362671458923062,7,2
"QN1206","Hollis",22264,1.96669805738736,3,4
"QN1301","Glen Oaks-Floral Park-New Hyde Park",22157,0.285359372905468,5,1
"QN1302","Bellerose",26891,0.517697544345466,16,3
"QN1303","Queens Village",55339,1.0037109933643,76,10
"QN1304","Cambria Heights",19981,0.577186042225104,8,1
"QN1305","Laurelton",27708,1.27342652151633,12,5
"QN1306","Springfield Gardens (South)-Brookville",24458,0.811159249719722,7,4
"QN1307","Rosedale",28309,0.840188356816139,22,3
"QN1401","Far Rockaway-Bayswater",62827,1.95165252218332,72,43
"QN1402","Rockaway Beach-Arverne-Edgemere",42621,0.514539034373519,37,5
"QN1403","Breezy Point-Belle Harbor-Rockaway Park-Broad Channel",25783,1.65742598151189,5,1
"SI0101","St. George-New Brighton",21009,1.67154283469866,51,3
"SI0102","Tompkinsville-Stapleton-Clifton-Fox Hills",18170,1.65688060627815,57,3
"SI0103","Rosebank-Shore Acres-Park Hill",23027,0,17,0
"SI0104","West New Brighton-Silver Lake-Grymes Hill",35957,0.410234416130416,8,2
"SI0105","Westerleigh-Castleton Corners",31542,0.892045091536787,2,2
"SI0106","Port Richmond",20577,2.10610333064075,66,5
"SI0107","Mariner's Harbor-Arlington-Graniteville",32272,1.13346575333765,21,2
"SI0201","Grasmere-Arrochar-South Beach-Dongan Hills",35372,1.30309700813999,8,3
"SI0202","New Dorp-Midland Beach",29103,2.76198485047737,15,4
"SI0203","Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights",33910,0.909604759432662,1,2
"SI0204","New Springville-Willowbrook-Bulls Head-Travis",42601,0.812487666446512,0,7
"SI0301","Oakwood-Richmondtown",21154,0.772760938118275,0,2
"SI0302","Great Kills-Eltingville",58253,0.704462869712261,4,2
"SI0303","Arden Heights-Rossville",31824,0,0,0
"SI0304","Annadale-Huguenot-Prince's Bay-Woodrow",42159,0.68011666580235,0,5
"SI0305","Tottenville-Charleston",17425,0.764429699975677,0,2
