"nta2020","ntaname","n_tracts","boroname","n_boroughs","pop_total","households","pop_65plus","pop_disabled","pov_below","pov_universe","dis_universe","med_hh_income_hhwtd","inc_tracts_used","poverty_rate","pct_65plus","disability_rate","events_311_raw","events_311","events_per_100k","ntatype","cdta2020","is_residential","restrooms","subway_riders","n_stations","jobs","hotels","area_sqmi","pop_density","jobs_density","l_sub","l_jobs","l_hotel","l_rest","l_dens","inc10k","pov","old","boro","pred","resid_ratio","n_projects","park_acres","got","l_park","need","need_abs","coverage","med_hours","n_late","pct_unacceptable","n_insp","intervention","capex","excess"
"BX0703","Norwood",8,"Bronx",1,39556,15109,4033,5578,10863,38914,39028,51548,8,0.279154031967929,0.10195671958742,0.14292302961976,14,4,10.112245929821,0,"BX07",TRUE,2,4153430,3,19824,4,0.563917922469548,70144.95979623,35154.0520527977,8.33193051376342,3.03610616769226,1.6094379124341,1.09861228866811,11.1583334900906,5.1548,27.9154031967929,10.195671958742,"Bronx",13.0696875289843,0.306051693365224,2,75.9394992587876,1,4.34301938909901,0.306051693365224,4,76.8122064277504,7.83333333333333,0,11.1111111111111,18,"Extend operating hours",0,0
"BX0801","Kingsbridge Heights-Van Cortlandt Village",6,"Bronx",1,33261,13295,5525,4682,7008,32504,32460,62573,6,0.215604233325129,0.166110459697544,0.144239063462723,12,4,12.0260966296864,0,"BX08",TRUE,4,0,0,3480,1,0.393495687441991,84526.9746568781,8843.80721583644,0,1.49962304642689,0.693147180559945,1.6094379124341,11.3448378195848,6.2573,21.5604233325129,16.6110459697544,"Bronx",4.1662090977989,0.960105435445689,2,10.469058407305,1,2.43965283599345,0.960105435445689,4,99.5686949292196,8.16666666666667,0,NA,NA,"Extend operating hours",0,0
"BX0802","Kingsbridge-Marble Hill",5,"Bronx",1,24004,9303,3430,4747,6744,23835,23844,50515,5,0.282945248584015,0.142892851191468,0.199085723871834,16,7,29.1618063656057,0,"BX08",TRUE,2,5229224,4,5880,0,0.441649348422613,54350.8104013564,13313.7295934001,8.56220938596971,1.92861865194525,0,1.09861228866811,10.9032332020471,5.0515,28.2945248584015,14.2892851191468,"Bronx",4.9228207073883,1.42194900364627,0,5.97656998790793,0,1.94255739025106,1.42194900364627,7,79.9555156433997,8.16666666666667,0,18.1818181818182,11,"Extend operating hours",0,2.0771792926117
"BX0803","Riverdale-Spuyten Duyvil",14,"Bronx",1,47430,20096,13647,6548,2817,43481,45373,108322,13,0.0647869184241393,0.287729285262492,0.144314900932273,19,9,18.9753320683112,0,"BX08",TRUE,6,0,0,13384,2,2.25921221229949,20994.0437386908,5924.18893946106,0,2.66611647772926,1.09861228866811,1.94591014905531,9.95204167640695,10.8322,6.47869184241393,28.7729285262492,"Bronx",6.21776697474268,1.4474649880832,0,141.938280686697,0,4.96241293350274,1.4474649880832,9,37.6468598778149,8,0,6.25,32,"Extend operating hours",0,2.78223302525732
"BX0901","Soundview-Bruckner-Bronx River",15,"Bronx",1,67869,24895,8431,8901,22245,67340,67678,42210,15,0.33033858033858,0.124224609173555,0.13151984396702,35,20,29.4685349717839,0,"BX09",TRUE,6,3669401,3,6444,2,1.15530281694314,58745.6370785774,5577.75840714247,8.20805619938488,2.00740833878,1.09861228866811,1.94591014905531,10.9809891891524,4.221,33.033858033858,12.4224609173555,"Bronx",15.5753898017835,1.28407701216632,3,36.5777413786917,1,3.62641189049451,1.28407701216632,20,73.2772410210287,8,0,4.65116279069767,43,"Extend operating hours",0,4.4246101982165
"BX0902","Soundview-Clason Point",8,"Bronx",1,35612,13149,6482,6887,7764,35071,35382,60080,8,0.221379487325711,0.182017297540155,0.194646995647504,15,6,16.8482533977311,0,"BX09",TRUE,2,0,0,4654,0,1.08771101888002,32740.3137247507,4278.70998750393,0,1.7323632592714,0,1.09861228866811,10.3963929761052,6.008,22.1379487325711,18.2017297540155,"Bronx",4.07717266927645,1.47160802023741,0,86.4487809998611,0,4.47105326197193,1.47160802023741,6,36.0752383918785,7.83333333333333,0,4.76190476190476,21,"Extend operating hours",0,1.92282733072355
"BX0903","Castle Hill-Unionport",9,"Bronx",1,35838,12870,6251,6442,8652,35624,35829,57830,9,0.242869975297552,0.174423795970757,0.179798487258924,17,8,22.3226742563759,0,"BX09",TRUE,4,2941711,1,11196,3,1.18009782785047,30368.6687274717,9487.34904494597,7.98708654429508,2.50110802912601,1.38629436111989,1.6094379124341,10.3211996500933,5.783,24.2869975297552,17.4423795970757,"Bronx",8.71530991501829,0.917924902040986,1,11.5003165789325,1,2.52575397030215,0.917924902040986,8,50.0463486335273,8,0,6.06060606060606,33,"Extend operating hours",0,0
"BX0904","Parkchester",5,"Bronx",1,29460,12480,4529,3787,6190,29272,29445,61589,5,0.211464881115059,0.153733876442634,0.128612667685515,10,4,13.5777325186694,0,"BX09",TRUE,4,0,0,3992,0,0.329442700996851,89423.7447387902,12117.433435073,0,1.60783663106713,0,1.6094379124341,11.4011527096506,6.1589,21.1464881115059,15.3733876442634,"Bronx",3.62789700262391,1.10256713382628,2,3.71629158270731,1,1.55102280915808,1.10256713382628,4,80.5639193267455,8,0,6.06060606060606,33,"Extend operating hours",0,0.37210299737609
"BX1001","Westchester Square",5,"Bronx",1,14680,5148,2063,1730,3493,14434,14436,57101,5,0.24199806013579,0.140531335149864,0.119839290662233,5,3,20.4359673024523,0,"BX10",TRUE,2,2746495,3,9775,0,0.5517474036421,26606.3780329493,17716.4404136294,7.91844486643991,2.37722863598981,0,1.09861228866811,10.1889438259697,5.7101,24.199806013579,14.0531335149864,"Bronx",3.37278568214712,0.889472466596276,0,4.472258350521,0,1.69969139238575,0.889472466596276,3,78.663041447375,7.83333333333333,0,18.1818181818182,11,"Extend operating hours",0,0
"BX1002","Throgs Neck-Schuylerville",14,"Bronx",1,47903,17284,7487,7645,6675,46241,47685,82192,14,0.144352414523907,0.156295012838444,0.160322952710496,10,3,6.26265578356262,0,"BX10",TRUE,6,0,0,7050,0,2.38454451729781,20088.9518532806,2956.53947697699,0,2.08567209143047,0,1.94591014905531,9.90797506125462,8.2192,14.4352414523907,15.6295012838444,"Bronx",7.23405552043726,0.41470513898111,1,58.8375707174982,1,4.09163373654368,0.41470513898111,3,33.801654387349,8,2,27.2727272727273,11,"Build new / modular unit",1200000,0
