evnt_key,occur_date,law_desc,law_code,precinct,latitude,longitude
"261911728","2023-01-14T00:00:00.000","PUBLIC URINATION","16-118(6)","025","40.8009303727402","-73.9410982410066"
"261914363","2023-01-14T00:00:00.000","PUBLIC URINATION","16-118(6)","044","40.8378421209284","-73.9196277517392"
"261914364","2023-01-14T00:00:00.000","PUBLIC URINATION","16-118(6)","075","40.6713598203364","-73.8818110231735"
"261914365","2023-01-14T00:00:00.000","PUBLIC URINATION","16-118(6)","023","40.788005","-73.941249"
"261919383","2023-01-14T00:00:00.000","PUBLIC URINATION","16-118(6)","052","40.872892","-73.889588"
"261921134","2023-01-14T00:00:00.000","PUBLIC URINATION","16-118(6)","069","40.652897","-73.894029"
"261924350","2023-01-14T00:00:00.000","PUBLIC URINATION","16-118(6)","018","40.764767","-73.986155"
"261924355","2023-01-14T00:00:00.000","PUBLIC URINATION","16-118(6)","048","40.8441566000203","-73.9006054489734"
"261925815","2023-01-14T00:00:00.000","PUBLIC URINATION","16-118(6)","014","40.752877","-73.991111"
"261925818","2023-01-14T00:00:00.000","PUBLIC URINATION","16-118(6)","115","40.750286","-73.860228"
"261926101","2023-01-14T00:00:00.000","PUBLIC URINATION","16-118(6)","115","40.753751","-73.860342"
"261926597","2023-01-15T00:00:00.000","PUBLIC URINATION","16-118(6)","115","40.7565675846374","-73.8759315341335"
"261926598","2023-01-15T00:00:00.000","PUBLIC URINATION","16-118(6)","115","40.749794","-73.863456"
"261926607","2023-01-14T00:00:00.000","PUBLIC URINATION","16-118(6)","025","40.798285","-73.94082"
"261932208","2023-01-15T00:00:00.000","PUBLIC URINATION","16-118(6)","013","40.740351","-73.992553"
"261932642","2023-01-15T00:00:00.000","PUBLIC URINATION","16-118(6)","114","40.764686","-73.914346"
"261932644","2023-01-15T00:00:00.000","PUBLIC URINATION","16-118(6)","115","40.7565675846374","-73.8759315341335"
"261932868","2023-01-14T00:00:00.000","PUBLIC URINATION","16-118(6)","018","40.758887","-73.984834"
"261932870","2023-01-15T00:00:00.000","PUBLIC URINATION","16-118(6)","014","40.754112","-73.99021"
"261932871","2023-01-15T00:00:00.000","PUBLIC URINATION","16-118(6)","014","40.749404","-73.991784"
"261934691","2023-01-15T00:00:00.000","PUBLIC URINATION","16-118(6)","007","40.721348","-73.988146"
"261957061","2023-01-15T00:00:00.000","PUBLIC URINATION","16-118(6)","052","40.86802","-73.896982"
"261957064","2023-01-15T00:00:00.000","PUBLIC URINATION","16-118(6)","069","40.65433","-73.895575"
"261958806","2023-01-15T00:00:00.000","PUBLIC URINATION","16-118(6)","115","40.7565675846374","-73.8759315341335"
"261962199","2023-01-15T00:00:00.000","PUBLIC URINATION","16-118(6)","073","40.667922","-73.904925"
"261963626","2023-01-16T00:00:00.000","PUBLIC URINATION","16-118(6)","110","40.746008","-73.889848"
"261968395","2023-01-16T00:00:00.000","PUBLIC URINATION","16-118(6)","075","40.6713598203364","-73.8818110231735"
"261968396","2023-01-16T00:00:00.000","PUBLIC URINATION","16-118(6)","073","40.66729","-73.909161"
"261968843","2023-01-16T00:00:00.000","PUBLIC URINATION","16-118(6)","034","40.8512131676868","-73.9352160519866"
"261969228","2023-01-16T00:00:00.000","PUBLIC URINATION","16-118(6)","075","40.6713598203364","-73.8818110231735"
"261985509","2023-01-14T00:00:00.000","PUBLIC URINATION","16-118(6)","018","40.763457","-73.990828"
"261990035","2023-01-16T00:00:00.000","PUBLIC URINATION","16-118(6)","028","40.809831","-73.951415"
"261998784","2023-01-01T00:00:00.000","PUBLIC URINATION","16-118(6)","115","40.752646","-73.866766"
"261998789","2023-01-16T00:00:00.000","PUBLIC URINATION","16-118(6)","014","40.7535327012632","-73.9945368920152"
"262002745","2023-01-16T00:00:00.000","PUBLIC URINATION","16-118(6)","048","40.8441566000203","-73.9006054489734"
"262006817","2023-01-16T00:00:00.000","PUBLIC URINATION","16-118(6)","023","40.795081","-73.942113"
"262007454","2023-01-16T00:00:00.000","PUBLIC URINATION","16-118(6)","017","40.7568201683051","-73.9711432633524"
"262020728","2023-01-16T00:00:00.000","PUBLIC URINATION","16-118(6)","025","40.8009303727402","-73.9410982410066"
"262023460","2023-01-15T00:00:00.000","PUBLIC URINATION","16-118(6)","025","40.80271","-73.93654"
"262029211","2023-01-15T00:00:00.000","PUBLIC URINATION","16-118(6)","034","40.866056","-73.919296"
"262032900","2023-01-17T00:00:00.000","PUBLIC URINATION","16-118(6)","105","40.7265293769835","-73.7348645378882"
"262034665","2023-01-17T00:00:00.000","PUBLIC URINATION","16-118(6)","110","40.747487","-73.885321"
"262036285","2023-01-17T00:00:00.000","PUBLIC URINATION","16-118(6)","040","40.8103518634571","-73.924942325642"
"262038084","2023-01-14T00:00:00.000","PUBLIC URINATION","16-118(6)","046","40.8535983673823","-73.9005768807295"
