prop_id,lon,lat,register_matches,register_id,register_name,listed_status,nearest_alternative_m,alternatives_within400m
Q005-05,-73.78614,40.68452,1,440,157 St Playground,Operational,357.868572905284,1
Q005-ZN04,-73.7878428571429,40.6746571428571,1,444,Baisley Pond Park Zone 4,Operational,470.283219103784,0
Q005-ZN03,-73.7841714285714,40.6777857142857,1,443,Baisley Pond Park Zone 3,Operational,464.908634830969,0
B345,-73.88682,40.65578,1,663,Ethan Allen Playground,Not Operational,281.337045122775,2
R022_temp,-74.099,40.6282846153846,1,612,Silver Lake Park Playground,Operational,580.760232941916,0
X126,-73.83858,40.81202,1,66,Ferry Point Park Zone 2,Operational,717.404337311239,0
X126-ZN04,-73.8262777777778,40.8201777777778,1,67,Ferry Point Park Zone 4,Operational,676.154622268026,0
BR-07,-73.9464608695652,40.6898304347826,1,172,Herbert Von King Park,Operational,219.555864882114,1
M028-02,-73.9460142857143,40.8389,1,336,Lily Brown Playground,Not Operational,717.736270490332,0
Q378,-73.8567714285714,40.6814285714286,1,579,Ampere Playground,Operational,587.44473877229,0
Q212,-73.82394,40.7219,1,521,Queens Valley Playground,Operational,290.887078193175,1
Q332,-73.90256,40.77752,1,550,Woodtree Playground,Not Operational,587.258406777919,0
X030,-73.9297538461539,40.8284,1,25,Macombs Dam Park Zone 1 Upper,Operational,151.759118315627,1
Q436,-73.92186,40.768,1,601,Athens Square,Operational,586.844461428587,0
B079,-73.9190222222222,40.6850777777778,1,166,Saratoga Park,Operational,329.95155364224,1
B073-ZN14,-73.971562962963,40.6655888888889,1,160,Middle Long Meadow,Operational,497.230456178998,0
B073-ZN04,-73.97661875,40.6633765625,1,158,Harmony Playground,Operational,489.31880712619,0
M071-ZN13,-73.9751558823529,40.7966794117647,1,355,Dinosaur Playground,Operational,438.018845544543,0
M204,-73.9392290322581,40.8096387096774,1,397,Moore Playground,Operational,343.950871409511,1
R034,-74.1150923076923,40.6295076923077,1,618,Austin J. McDonald Playground,Operational,556.734056918,0
M071-ZN03,-73.9847,40.7858,0,,,,,
M010_temp3,-73.95965,40.79108,1,322,North Meadow Recreation Center,Operational,263.117030737885,1
M010-ZN16,-73.9665411764706,40.7739764705882,1,316,Pilgrim Hill & Conservatory Water,Operational,244.883952384243,2
B431-ZN06,-74.00162,40.69294,1,301,Brooklyn Bridge Park Zone 6,Operational,77.0164094302992,2
B019,-73.9947769230769,40.6808615384615,1,133,Carroll Park,Operational,603.750458686241,0
Q162J,-73.7505666666667,40.5941777777778,1,513,Beach 17 Playground,Operational,530.189334716434,0
Q163-ZN07B,-73.82611,40.5806025,1,518,Rockaway Beach 07b,Operational,371.91480741103,1
Q163-ZN06B,-73.8176245614035,40.582952631579,1,517,Rockaway Beach 06b,Operational,350.009794482597,1
M231,-73.9856975000001,40.77249625,1,410,Damrosch Park,Operational,149.050757987271,5
M005-ZN02,-74.015028358209,40.701423880597,1,306,Battery Park Zone 2,Not Operational,250.018006579179,1
M010-ZN09,-73.9776057971015,40.7722666666667,1,781,Tavern On The Green,Operational,284.279340521667,2
R046-ZN02,-74.06681,40.58886,3,,,,,
R006-ZN02,-74.2516727272728,40.5022909090909,1,609,Conference House Park Zone 2,Operational,1029.05054094652,0
Q099_temp2,-73.8431846153846,40.7515076923077,1,491,Passerelle,Operational,262.017923382822,1
Q099-ZN25,-73.8384230769231,40.7358538461538,1,495,Meadow Lake NE,Operational,583.99967193225,0
Q020-ZN02,-73.8929,40.68314,1,463,Highland Park Zone 2,Operational,538.926838717779,0
Q015-08,-73.86815,40.702325,1,456,Dry Harbor Playground,Operational,449.514430420676,0
Q015-ZN07,-73.8581333333334,40.6971555555556,1,460,Tennis Courts - Forest Parkway,Operational,193.986892517744,1
Q015-ZN14,-73.84294,40.70112,1,455,Jackson Pond Playground,Operational,955.306443432624,0
Q347,-73.82702,40.77012,1,560,Colden Playground,Not Operational,107.918423478135,1
Q390,-73.80676,40.783,1,582,Clintonville Playground,Operational,700.344074741483,0
M391,-74.0038,40.70546,1,792,John Street Snack Bar,Operational,86.806579006812,3
B096,-73.9369444444445,40.7235333333333,1,173,Sgt. William Dougherty Playground,Operational,572.255160497556,0
M308,-74.0115111111111,40.7174888888889,1,425,Washington Market Park,Operational,288.79714077666,1
