nta2020,ntaname,boroname,events_311,pred,resid_ratio,eb_p_gt_1_5,confident_six,in_29,residents,L2_residents,L2_streets,L2_subway,L3_residents,L3_ext_recov,L3_ext_recov_frac,L2_residents_400m,L3_residents_400m,L3_ext_recov_frac_400m,parks_restrooms_serving,n_long_term_closed,n_ltc_listed_operational,n_repeatedly_failing,max_res_share_one_broken,L4_lost_pp,L4_reopen_gain_pp,pip26_props,pip26_n_rated,pip26_fail_rate,flag_build,flag_fix,flag_extend,flags,primary_action,build_cands_in_reach,build_sites_needed,build_L2_after,build_target_reached,anyloc_sites,anyloc_L2_after,anyloc_target_reached,broken_names,street_m,subway_entries
MN0801,Upper East Side-Lenox Hill-Roosevelt Island,Manhattan,47,74.4762,0.6311,0,FALSE,FALSE,77188,0.0428,0.0076,0,0.8111,0.5852,0.7215,0.2396,0.6598,0.6762,9,1,0,0,0.1359,0,0.4594,8,9,0,FALSE,TRUE,TRUE,FIX+EXTEND HOURS,FIX,,,,,,,,"Twenty-Four Sycamores Park [long-term closed, 14%]",5723.778,9894516
MN0701,Upper West Side-Lincoln Square,Manhattan,40,63.7605,0.6273,0,FALSE,FALSE,69909,0,0.0282,0,0.5002,0.3462,0.6921,0.336,0.2979,0.5781,12,0,0,0,0,0,0,12,19,0.1579,FALSE,FALSE,TRUE,EXTEND HOURS,EXTEND HOURS,,,,,,,,"",4677.1537,32667803
BK0504,Spring Creek-Starrett City,Brooklyn,1,1.5946,0.6271,0.0759,FALSE,FALSE,16410,0.5798,,,0.4202,0.1744,0.4149,0.7101,0.2899,0.4567,5,3,1,0,0.0537,0,1.9863,2,2,0.5,TRUE,FALSE,FALSE,BUILD,BUILD,,,,,,,,"Breukelen Playground [long-term closed, 2%]; Jerome Playground [long-term closed, 3%]; Ethan Allen Playground [long-term closed, 5%]",0,0
BK1501,Gravesend (East)-Homecrest,Brooklyn,9,14.3738,0.6261,0.0007,FALSE,FALSE,50032,0.515,,0.5856,0.485,0.3274,0.6749,0.6629,0.3371,0.5669,5,2,1,0,0.1624,2.0784,2.9493,3,3,0.3333,TRUE,TRUE,TRUE,BUILD+FIX+EXTEND HOURS,BUILD,,,,,,,,"Mellett Playground [long-term closed, 16%]; Marlboro Playground [long-term closed, 3%]",0,1736155
BX0101,Mott Haven-Port Morris,Bronx,10,15.9837,0.6256,0.0004,FALSE,FALSE,56600,0.0292,0,0,0.9708,0.965,0.994,0.1258,0.8742,0.98,14,0,0,3,0.4089,0.5831,0,13,14,0.3571,FALSE,TRUE,TRUE,FIX+EXTEND HOURS,FIX,,,,,,,,"Willis Playground [failing, 36%]; Saw Mill Playground [failing, 41%]; Alice Kornegay Triangle [failing, 1%]",117.4799,7515631
QN0703,Bay Terrace-Clearview,Queens,2,3.3068,0.6048,0.0372,FALSE,FALSE,23195,0.3457,,,0.6543,0.4237,0.6476,0.5687,0.4313,0.6546,4,1,1,0,0.0215,2.1533,0,3,6,0.1667,FALSE,FALSE,TRUE,EXTEND HOURS,EXTEND HOURS,,,,,,,,"Clintonville Playground [long-term closed, 2%]",0,0
BK0502,East New York (North),Brooklyn,9,14.9037,0.6039,0.0005,FALSE,FALSE,41335,0.4691,,0.6427,0.5309,0.4094,0.7711,0.6808,0.3192,0.6811,5,1,0,1,0.1415,9.7997,0,4,7,0.7143,TRUE,TRUE,TRUE,BUILD+FIX+EXTEND HOURS,BUILD,,,,,,,,"Sperandeo Brothers Playground [failing, 14%]; Sankofa Park [long-term closed, 6%]",0,3574188
MN0901,Morningside Heights,Manhattan,19,31.7104,0.5992,0,FALSE,FALSE,37716,0,0,0,0.9662,0.8649,0.8951,0.0151,0.9849,0.7387,9,0,0,0,0,0,0,11,12,0.3333,FALSE,FALSE,TRUE,EXTEND HOURS,EXTEND HOURS,,,,,,,,"",743.3898,11877048
BX1202,Eastchester-Edenwald-Baychester,Bronx,8,13.4055,0.5968,0.0007,FALSE,FALSE,51213,0.42,,1,0.58,0.4723,0.8142,0.5693,0.4307,0.7925,6,0,0,0,0,0,0,5,5,0,TRUE,FALSE,TRUE,BUILD+EXTEND HOURS,BUILD,,,,,,,,"",0,1376396
BK1301,Gravesend (South),Brooklyn,4,6.7671,0.5911,0.0089,FALSE,FALSE,28604,0.7122,,1,0.2878,0.1825,0.6343,0.7906,0.2094,0.7428,4,2,0,0,0.243,0,23.1275,2,2,1,TRUE,TRUE,FALSE,BUILD+FIX,BUILD,,,,,,,,"Marlboro Playground [long-term closed, 24%]; Grady Playground [long-term closed, 7%]",0,1224520
QN1304,Cambria Heights,Queens,2,3.429,0.5833,0.0334,FALSE,FALSE,19981,0.4055,,,0.5945,0.515,0.8662,0.5443,0.4557,0.7932,4,0,0,0,0,0,0,3,4,0.25,TRUE,FALSE,TRUE,BUILD+EXTEND HOURS,BUILD,,,,,,,,"",0,0
BK0102,Williamsburg,Brooklyn,32,55.0139,0.5817,0,FALSE,FALSE,66612,0,0,0,0.7252,0.7252,1,0.144,0.6692,1,11,3,2,0,0.2697,8.2376,0,7,10,0.3,FALSE,TRUE,TRUE,FIX+EXTEND HOURS,FIX,,,,,,,,"Sternberg Park [long-term closed, 2%]; Jaime Campiz Playground [long-term closed, 27%]; De Hostos Playground [long-term closed, 1%]",609.8986,14582348
QN0805,Jamaica Hills-Briarwood,Queens,6,10.5505,0.5687,0.0017,FALSE,FALSE,37121,0.402,,,0.598,0.5782,0.9669,0.5794,0.4206,0.9076,5,0,0,0,0,0,0,5,5,0,TRUE,FALSE,TRUE,BUILD+EXTEND HOURS,BUILD,,,,,,,,"",0,0
BK1103,Gravesend (West),Brooklyn,10,17.5849,0.5687,0.0001,FALSE,FALSE,56517,0.5318,,1,0.4163,0.2089,0.5018,0.6716,0.2984,0.4588,6,2,1,0,0.0682,3.2981,2.4407,6,6,0.6667,TRUE,FALSE,TRUE,BUILD+EXTEND HOURS,BUILD,,,,,,,,"Bensonhurst Park [long-term closed, 7%]; Marlboro Playground [long-term closed, 2%]",0,5035817
BK1601,Ocean Hill,Brooklyn,8,14.0743,0.5684,0.0004,FALSE,FALSE,39942,0.4468,,0,0.5532,0.4198,0.7589,0.6196,0.3804,0.8362,8,2,0,1,0.3264,11.6998,18.1317,4,4,0.5,TRUE,TRUE,TRUE,BUILD+FIX+EXTEND HOURS,BUILD,,,,,,,,"Marion Hopkinson Playground [failing, 33%]; Ocean Hill Playground [long-term closed, 30%]; Chester Playground [long-term closed, 7%]",0,5213474
BK1602,Brownsville,Brooklyn,10,17.829,0.5609,0.0001,FALSE,FALSE,59014,0.1704,,0.2339,0.8296,0.6934,0.8358,0.2925,0.7075,0.7305,9,3,0,1,0.2033,0,8.9997,6,8,0.5,FALSE,TRUE,TRUE,FIX+EXTEND HOURS,FIX,,,,,,,,"Kennedy King Playground [failing, 1%]; Ocean Hill Playground [long-term closed, 4%]; Osborn Playground [long-term closed, 16%]; Chester Playground [long-term closed, 20%]",0,6152521
BK1403,Midwood,Brooklyn,8,14.3699,0.5567,0.0003,FALSE,FALSE,49291,0.3303,,0,0.6697,0.3631,0.5421,0.5472,0.4528,0.5006,2,0,0,0,0,0,0,3,3,0.3333,FALSE,FALSE,TRUE,EXTEND HOURS,EXTEND HOURS,,,,,,,,"",0,3337670
BK1204,Mapleton-Midwood (West),Brooklyn,6,10.7871,0.5562,0.0013,FALSE,FALSE,37519,0.4783,,0.197,0.5217,0.5128,0.9828,0.6256,0.3744,1,3,0,0,0,0,0,0,2,2,0.5,TRUE,FALSE,TRUE,BUILD+EXTEND HOURS,BUILD,,,,,,,,"",0,1762675
MN0101,Financial District-Battery Park City,Manhattan,63,113.8316,0.5534,0,FALSE,FALSE,48198,0.0582,0,0,0.541,0.3214,0.594,0.2269,0.4791,0.5079,9,0,0,2,0.2704,0,0,8,10,0.3,FALSE,TRUE,TRUE,FIX+EXTEND HOURS,FIX,,,,,,,,"Alfred E. Smith Playground [failing, 3%]; East River Waterfront Esplanade Zone 1 [failing, 27%]",1341.6076,50204181
BX0502,Mount Hope,Bronx,7,12.81,0.5464,0.0005,FALSE,FALSE,47120,0.0838,,0,0.9162,0.7511,0.8198,0.3872,0.6128,0.7301,5,1,1,1,0.0755,0,0,2,2,0.5,FALSE,FALSE,TRUE,EXTEND HOURS,EXTEND HOURS,,,,,,,,"Aqueduct Walk Zone 2 [long-term closed, 2%]; Claremont Zone 1 [failing, 8%]",0,2719630
BK1201,Sunset Park (East)-Borough Park (West),Brooklyn,5,9.2796,0.5388,0.0022,FALSE,FALSE,30220,0.6675,,1,0.3325,0.3205,0.964,0.76,0.24,1,1,0,0,0,0,0,0,1,1,0,TRUE,FALSE,FALSE,BUILD,BUILD,,,,,,,,"",0,2419405
