type;statut;adresse;arrondissement;horaire;acces_pmr;relais_bebe;url_fiche_equipement;geo_shape;geo_point_2d
Sanisette;En service;14 av rene coty;75014;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.333811999463941, 48.83033800032827], ""type"": ""Point""}";48.83033800032827, 2.333811999463941
Sanisette;En service;11 av maurice d'ocagne;75014;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.311332000086151, 48.824990000266716], ""type"": ""Point""}";48.824990000266716, 2.311332000086151
Sanisette;En service;2 pl amedee gordini;75015;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.2919599996490962, 48.8309549998389], ""type"": ""Point""}";48.8309549998389, 2.2919599996490962
Sanisette;En service;93b rue blomet;75015;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.3002929993416408, 48.84091199984846], ""type"": ""Point""}";48.84091199984846, 2.3002929993416408
Sanisette;En service;216 rue saint-charles;75015;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.2779889994831684, 48.83808899998454], ""type"": ""Point""}";48.83808899998454, 2.2779889994831684
WC;En service;41 rue mirabeau;75016;Horaires du parc;Oui;Non;https://www.paris.fr/lieux/parc-sainte-perine-1806;"{""coordinates"": [2.2685112822119478, 48.843817611869724], ""type"": ""Point""}";48.843817611869724, 2.2685112822119478
Sanisette;En service;12 w1 bd des batignolles;75017;24/24h;Oui;Non;;"{""coordinates"": [2.3262660000526107, 48.883342999654786], ""type"": ""Point""}";48.883342999654786, 2.3262660000526107
Sanisette;En service;20 bd des batignolles;75017;24/24h;Oui;Non;;"{""coordinates"": [2.325236000174818, 48.883118000401375], ""type"": ""Point""}";48.883118000401375, 2.325236000174818
Sanisette;En service;32 av de la porte de montmartre;75018;23h59 - 00h00;Oui;Non;;"{""coordinates"": [2.3354129998428843, 48.901022999656156], ""type"": ""Point""}";48.901022999656156, 2.3354129998428843
WC;En service;122 rue des poissonniers;75018;Horaires du parc;Oui;Non;https://www.paris.fr/lieux/jardin-122-rue-des-poissonniers-17468;"{""coordinates"": [2.3532738607939145, 48.89500623204368], ""type"": ""Point""}";48.89500623204368, 2.3532738607939145
Sanisette;En service;0 s cite falaise;75018;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.3345859997408973, 48.89642000005421], ""type"": ""Point""}";48.89642000005421, 2.3345859997408973
WC;En service;156 rue marcadet;75018;Horaires du parc;Oui;Non;https://www.paris.fr/lieux/square-leon-serpollet-2665;"{""coordinates"": [2.339101315132686, 48.89225644637529], ""type"": ""Point""}";48.89225644637529, 2.339101315132686
WC;En service;32 rue berger;75001;Horaires du parc;Oui;Non;;"{""coordinates"": [2.3463609754114185, 48.862250005118426], ""type"": ""Point""}";48.862250005118426, 2.3463609754114185
Sanisette;En service;19 av victoria;75001;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.346546000463207, 48.85797799960644], ""type"": ""Point""}";48.85797799960644, 2.346546000463207
Sanisette;En service;117 rue montmartre;75002;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.343226999493932, 48.86876100022834], ""type"": ""Point""}";48.86876100022834, 2.343226999493932
WC;En service;50 rue de bretagne;75003;Horaires du parc;Non;Oui;https://www.paris.fr/lieux/square-du-temple-elie-wiesel-2425;"{""coordinates"": [2.360499743483085, 48.86428649324811], ""type"": ""Point""}";48.86428649324811, 2.360499743483085
Sanisette;En service;8 rue jean calvin;75005;24/24h;Oui;Non;;"{""coordinates"": [2.3487010000881967, 48.84164499972937], ""type"": ""Point""}";48.84164499972937, 2.3487010000881967
Sanisette;En service;17 rue du four;75006;24/24h;Oui;Non;;"{""coordinates"": [2.3346000001385465, 48.85274100024098], ""type"": ""Point""}";48.85274100024098, 2.3346000001385465
Sanisette;En service;44 bd malesherbes;75008;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.320433000475625, 48.874335999751764], ""type"": ""Point""}";48.874335999751764, 2.320433000475625
Sanisette;En service;76 bd marguerite de rochechouart;75009;24/24h;Oui;Non;;"{""coordinates"": [2.3434889998913424, 48.8827379996895], ""type"": ""Point""}";48.8827379996895, 2.3434889998913424
Sanisette;En service;20 bd saint-martin;75010;24/24h;Oui;Non;;"{""coordinates"": [2.3562090006801126, 48.869003999831435], ""type"": ""Point""}";48.869003999831435, 2.3562090006801126
