_id,FLOC_ID,Building Description,Address,Ward Name,District,Building Type,Washroom Info,Gender Inclusive,Accessible Washroom,Hours Available,Location Details,Washroom Status,geometry
11,004577-B04,North York Civic Centre,5100 Yonge Street,Willowdale,North York,Municipal Government Building,Female Washroom,No,No,"Mon-Fri 8:30am-4:30pm, Sat-Sun Closed",Centre Core - 1,Open - Public Access,"{""coordinates"": [[-79.41488808, 43.7672701]], ""type"": ""MultiPoint""}"
12,004577-B04,North York Civic Centre,5100 Yonge Street,Willowdale,North York,Municipal Government Building,Universal Washroom,Yes,Yes,"Mon-Fri 8:30am-4:30pm, Sat-Sun Closed",Centre Core - 1,Open - Public Access,"{""coordinates"": [[-79.41488808, 43.7672701]], ""type"": ""MultiPoint""}"
13,004577-B04,North York Civic Centre,5100 Yonge Street,Willowdale,North York,Municipal Government Building,Male Washroom,No,No,"Mon-Fri 8:30am-4:30pm, Sat-Sun Closed",Centre Core - G,Open - Public Access,"{""coordinates"": [[-79.41488808, 43.7672701]], ""type"": ""MultiPoint""}"
14,004577-B04,North York Civic Centre,5100 Yonge Street,Willowdale,North York,Municipal Government Building,Female Washroom,No,No,"Mon-Fri 8:30am-4:30pm, Sat-Sun Closed",Centre Core - G,Open - Public Access,"{""coordinates"": [[-79.41488808, 43.7672701]], ""type"": ""MultiPoint""}"
15,004577-B04,North York Civic Centre,5100 Yonge Street,Willowdale,North York,Municipal Government Building,Universal Washroom,Yes,Yes,"Mon-Fri 7:30am-9:30pm, Sat-Sun & Holidays 8:00am-6:00pm",South End by Security Desk - G,Open - Public Access,"{""coordinates"": [[-79.41488808, 43.7672701]], ""type"": ""MultiPoint""}"
16,004577-B04,North York Civic Centre,5100 Yonge Street,Willowdale,North York,Municipal Government Building,Male Washroom,No,No,"Mon-Fri 7:30am-9:30pm, Sat-Sun & Holidays 8:00am-6:00pm",Centre Core - LL,Open - Public Access,"{""coordinates"": [[-79.41488808, 43.7672701]], ""type"": ""MultiPoint""}"
17,004577-B04,North York Civic Centre,5100 Yonge Street,Willowdale,North York,Municipal Government Building,Female Washroom,No,No,"Mon-Fri 7:30am-9:30pm, Sat-Sun & Holidays 8:00am-6:00pm",Centre Core - LL,Open - Public Access,"{""coordinates"": [[-79.41488808, 43.7672701]], ""type"": ""MultiPoint""}"
18,004577-B04,North York Civic Centre,5100 Yonge Street,Willowdale,North York,Municipal Government Building,Universal Washroom,Yes,Yes,"Mon-Fri 7:30am-9:30pm, Sat-Sun & Holidays 8:00am-6:00pm",Council Chambers Lobby - LL,Open - Public Access,"{""coordinates"": [[-79.41488808, 43.7672701]], ""type"": ""MultiPoint""}"
19,004577-B04,North York Civic Centre,5100 Yonge Street,Willowdale,North York,Municipal Government Building,Male Washroom,No,No,"Mon-Fri 7:30am-9:30pm, Sat-Sun & Holidays 8:00am-6:00pm",Council Chambers Lobby - LL,Open - Public Access,"{""coordinates"": [[-79.41488808, 43.7672701]], ""type"": ""MultiPoint""}"
20,004577-B04,North York Civic Centre,5100 Yonge Street,Willowdale,North York,Municipal Government Building,Female Washroom,No,No,"Mon-Fri 7:30am-9:30pm, Sat-Sun & Holidays 8:00am-6:00pm",Council Chambers Lobby - LL,Open - Public Access,"{""coordinates"": [[-79.41488808, 43.7672701]], ""type"": ""MultiPoint""}"
21,004577-B04,North York Civic Centre,5100 Yonge Street,Willowdale,North York,Municipal Government Building,Accessible Male Washroom,No,Yes,"Mon-Fri 7:30am-9:30pm, Sat-Sun & Holidays 8:00am-6:00pm",Staff Hallway South - LL,Open - Public Access,"{""coordinates"": [[-79.41488808, 43.7672701]], ""type"": ""MultiPoint""}"
