park_name;type;location;geo_local_area;summer_hours;winter_hours;wheelchair_access;note;geom;geo_point_2d
Britannia;Community Center;1661 Napier St;Grandview-Woodland;as per CC operating hours;as per CC operating hours;;Maintained by Rec Center;"{""coordinates"": [-123.07065277917624, 49.27504267038139], ""type"": ""Point""}";49.27504267038139, -123.07065277917624
Dunbar;Community Center;4747 Dunbar St;Dunbar-Southlands;as per CC operating hours;as per CC operating hours;;Maintained by Rec Center;"{""coordinates"": [-123.1882519609546, 49.24281542583472], ""type"": ""Point""}";49.24281542583472, -123.1882519609546
Evelyne Saller Centre;Community Center;320 Alexander St;Strathcona;as per CC operating hours;as per CC operating hours;;Maintained by Rec Center;"{""coordinates"": [-123.09708430739617, 49.2838745131322], ""type"": ""Point""}";49.2838745131322, -123.09708430739617
Gathering Place;Community Center;609 Helmcken St;Downtown;as per CC operating hours;as per CC operating hours;;Maintained by Rec Center;"{""coordinates"": [-123.12348216441735, 49.27798999137303], ""type"": ""Point""}";49.27798999137303, -123.12348216441735
Kitsilano War Memorial;Community Center;2690 Larch St;Kitsilano;as per CC operating hours;as per CC operating hours;;Maintained by Rec Center;"{""coordinates"": [-123.16185934533652, 49.26234325331214], ""type"": ""Point""}";49.26234325331214, -123.16185934533652
Spanish Banks Beach Park;Park - Field House;West, fieldhouse;West Point Grey;Dawn to Dusk;Dawn to Dusk;Yes;;"{""coordinates"": [-123.22267905551811, 49.27747198504818], ""type"": ""Point""}";49.27747198504818, -123.22267905551811
Kitsilano Beach Park;Park - Public Washroom;Lifeguard station;Kitsilano;Dawn to Dusk;Dawn to Dusk;Yes;;"{""coordinates"": [-123.15370297407691, 49.27447199236721], ""type"": ""Point""}";49.27447199236721, -123.15370297407691
Rupert Park;Park - Field House;South side, fieldhouse;Hastings-Sunrise;Dawn to Dusk;Dawn to Dusk;Yes;;"{""coordinates"": [-123.03060498029191, 49.27013500332388], ""type"": ""Point""}";49.27013500332388, -123.03060498029191
Stanley Park;Park - Field House;Prospect Point Picnic, fieldhouse;;Dawn to Dusk;Dawn to Dusk;Yes;;"{""coordinates"": [-123.14838804055674, 49.31055002745345], ""type"": ""Point""}";49.31055002745345, -123.14838804055674
Stanley Park;Park - Public Washroom;SP Brewing;;Dawn to Dusk;Dawn to Dusk;Yes;;"{""coordinates"": [-123.14658004093583, 49.29229302081527], ""type"": ""Point""}";49.29229302081527, -123.14658004093583
Stanley Park;Park - Public Washroom;Lumberman's Arch;;Dawn to Dusk;Dawn to Dusk;Yes;;"{""coordinates"": [-123.13070797861168, 49.30292598376159], ""type"": ""Point""}";49.30292598376159, -123.13070797861168
Stanley Park;Park - Public Washroom;Info Booth;;Dawn to Dusk;Dawn to Dusk;Yes;;"{""coordinates"": [-123.13143296597215, 49.297753013370894], ""type"": ""Point""}";49.297753013370894, -123.13143296597215
Stanley Park;Park - Public Washroom;Totems;;Dawn to Dusk;Dawn to Dusk;Yes;;"{""coordinates"": [-123.12127801954023, 49.29944002244882], ""type"": ""Point""}";49.29944002244882, -123.12127801954023
Stanley Park;Park - Public Washroom;Chilco - Lost Lagoon;;Dawn to Dusk;Dawn to Dusk;Yes;;"{""coordinates"": [-123.13859102966137, 49.2939220370603], ""type"": ""Point""}";49.2939220370603, -123.13859102966137
Empire Fields - Hastings Park;Park - Field House;West Side;Hastings-Sunrise;;;;;"{""coordinates"": [-123.03430857894679, 49.28250644914341], ""type"": ""Point""}";49.28250644914341, -123.03430857894679
CRAB Park at Portside;Park - Portland Loo;101 E Waterfront Rd;Downtown;24 hrs;24 hrs;Yes;;"{""coordinates"": [-123.10183295751148, 49.28458764705696], ""type"": ""Point""}";49.28458764705696, -123.10183295751148
Musqueam Park;Park - Public Washroom;4000 SW Marine Dr;Dunbar-Southlands;;;;;"{""coordinates"": [-123.18992303549682, 49.22943227927681], ""type"": ""Point""}";49.22943227927681, -123.18992303549682
Langara Golf Course;Park - Public Washroom;Exterior of Building;Oakridge;;;;;"{""coordinates"": [-123.1125147594454, 49.223887357607616], ""type"": ""Point""}";49.223887357607616, -123.1125147594454
