name,uid,resource_type,water_fountain,bottle_filler,jug_filler,dog_fountain,latitude,longitude,address,city,state,zip_code,park,access,public_access_hours_open,public_access_hours_close,public_access_days,notes,source,point,supervisor_district,analysis_neighborhood,data_as_of,data_loaded_at
Drinking Fountain/Cooler,2181557672935071184,drinking_water,1,1,0,0,37.78537896,-122.41809575,800 O'Farrell St,San Francisco,CA,94109,Sgt. John Macaulay Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.418095754 37.785378956),5,Tenderloin,2026/03/19 04:25:46 PM,2026/09/01 09:08:33 AM
Restroom,6039249465726437224,restroom,0,0,0,0,37.73833764891676,-122.48372258084628,2680 28th Ave,San Francisco,CA,94132,Parkside Square,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.483722581 37.738337649),4,Sunset/Parkside,2025/12/08 07:45:05 PM,2026/09/01 09:08:33 AM
Crocker Amazon Playground - Drinking Fountain/Cooler,6446814172162367936,drinking_water,1,0,0,0,37.71440079,-122.42886245999999,799 Moscow St,San Francisco,CA,94134,Crocker Amazon Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.428862455 37.714400785),11,Excelsior,2026/03/10 10:25:27 PM,2026/09/01 09:08:33 AM
Camp Mather - Upper Shang spigot,7580789092189432981,drinking_water,1,0,0,0,37.8807994,-119.85081396000001,32560 Mather Road,San Francisco,CA,95321,Camp Mather,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-119.850813964 37.880799395),,,2026/03/10 10:25:27 PM,2026/09/01 09:08:33 AM
Crocker Amazon Clubhouse,7495279004308334249,restroom,0,0,0,0,37.71521926228224,-122.43182547973574,799 Moscow St,San Francisco,CA,94134,Crocker Amazon Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.43182548 37.715219262),11,Excelsior,2026/02/05 08:11:25 PM,2026/09/01 09:08:33 AM
Garfield Pool,1317162167191443388,restroom,0,0,0,0,37.74997662698047,-122.41197071539473,3100 26th St,San Francisco,CA,94110,Garfield Square,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.411970715 37.749976627),9,Mission,2026/02/05 08:11:25 PM,2026/09/01 09:08:33 AM
Golden Gate Park - Section 6 - Drinking Fountain/Cooler,3193861092609414378,drinking_water,1,1,0,0,37.7668042,-122.5081866,Golden Gate Park,San Francisco,CA,94132,Golden Gate Park - Section 6,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.508186603 37.766804195),4,Golden Gate Park,2026/03/10 10:25:27 PM,2026/09/01 09:08:33 AM
Palega Playground - Drinking Fountain/Cooler,1691118309955111832,drinking_water,1,0,0,0,37.72928423,-122.40970257000001,500 Felton St,San Francisco,CA,94134,Palega Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.409702567 37.729284229),9,Portola,2026/03/10 10:25:27 PM,2026/09/01 09:08:33 AM
Restrooms,6586654064421355590,restroom,0,0,0,0,37.80129143482331,-122.41678429901587,1055 Greenwich St,San Francisco,CA,94133,Michelangelo Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.416784299 37.801291435),3,Russian Hill,2025/12/08 07:45:05 PM,2026/09/01 09:08:33 AM
Douglass Playground - Douglass Dog Play Area Drinking Fountain,2786684703190047407,drinking_water,1,0,0,0,37.7464289,-122.43829271,1098 Douglass St,San Francisco,CA,94131,Douglass Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.43829271 37.746428896),8,Noe Valley,2026/03/10 10:25:27 PM,2026/09/01 09:08:33 AM
Shoreview Park - Drinking Fountain/Cooler,1961845581921552350,drinking_water,1,1,0,0,37.73177922000001,-122.3812578,1 Lillian St,San Francisco,CA,94124,Shoreview Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.381257797 37.731779225),10,Bayview Hunters Point,2026/03/10 10:25:27 PM,2026/09/01 09:08:33 AM
Alta Plaza Park - Drinking Fountain/Cooler,5977774770691283958,drinking_water,1,0,0,0,37.791240040000005,-122.43819734,2501 Jackson St,San Francisco,CA,94115,Alta Plaza Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.438197336 37.791240039),2,Pacific Heights,2026/03/10 10:25:27 PM,2026/09/01 09:08:33 AM
Washington & Hyde Mini Park - Drinking Fountain/Cooler,5404870891905959329,drinking_water,1,0,0,0,37.79403249,-122.41743067,1470 Washington St,San Francisco,CA,94109,Washington & Hyde Mini Park,limited_access,08:00:00,20:00:00,Daily,,rec,POINT (-122.417430675 37.794032492),3,Russian Hill,2026/03/10 10:25:27 PM,2026/09/01 09:08:33 AM
Embarcadero Pit Stop - Embarcadero Plaza (JCDecaux),7227832692528728198,restroom,0,0,0,0,37.7946278,-122.394598,Embarcadero Plaza (JCDecaux),San Francisco,CA,,Embarcadero Plaza,publicly_accessible,09:00:00,17:00:00,Daily,,pit_stop,POINT (-122.394598 37.7946278),3,Financial District/South Beach,2026/09/01 09:05:57 AM,2026/09/01 09:08:33 AM
Pine Lake Park - Pine Lake Dog Play Area Drinking Fountain,3213821891824334248,drinking_water,1,0,0,0,37.73679298,-122.48263592,2899 19th Ave,San Francisco,CA,94132,Pine Lake Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.482635923 37.736792976),4,Sunset/Parkside,2026/03/16 04:10:17 PM,2026/09/01 09:08:33 AM
Salvation Army Headquarters,7376495296883677357,drinking_water,0,1,0,0,37.7814174,-122.4020001,832 Folsom Ave,San Francisco,CA,94107,,publicly_accessible,,,Daily,,puc,POINT (-122.4020001 37.7814174),6,South of Market,2024/06/27 01:43:12 PM,2026/09/01 09:08:33 AM
Youngblood-Coleman Playground - Drinking Fountain/Cooler,3316749868082703836,drinking_water,1,0,0,0,37.73918604,-122.38562639999999,1398 Hudson Ave,San Francisco,CA,94124,Youngblood-Coleman Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.385626405 37.739186042),10,Bayview Hunters Point,2026/03/10 10:25:27 PM,2026/09/01 09:08:33 AM
Mission Pit Stop - 344 14th St.,2466058572733021801,restroom,0,0,0,0,37.7685148,-122.4211539,344 14th St.,San Francisco,CA,,,publicly_accessible,07:00:00,15:00:00,Daily,,pit_stop,POINT (-122.4211539 37.7685148),9,Mission,2026/09/01 09:05:57 AM,2026/09/01 09:08:33 AM
Park Aid Station,2135114861101079118,restroom,0,0,0,0,37.76698923530862,-122.45335104971475,501 Stanyan St,San Francisco,CA,94117,Golden Gate Park - Section 1,limited_access,08:00:00,20:00:00,Daily,,rec,POINT (-122.45335105 37.766989235),5,Golden Gate Park,2026/02/05 08:11:25 PM,2026/09/01 09:08:33 AM
Restrooms,7629794751538283355,restroom,0,0,0,0,37.79171980104912,-122.40509210942763,633 California St,San Francisco,CA,94108,St. Mary's Square,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.405092109 37.791719801),3,Financial District/South Beach,2025/12/08 07:45:05 PM,2026/09/01 09:08:33 AM
Cabrillo Playground - Drinking Fountain/Cooler,6211239868468040465,drinking_water,1,0,0,0,37.77297409,-122.49900826999999,851 38th Ave,San Francisco,CA,94121,Cabrillo Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.499008268 37.772974091),1,Outer Richmond,2026/03/10 10:25:27 PM,2026/09/01 09:08:33 AM
