"month","station_complex_id","station_complex","borough","ridership","transfers","latitude","longitude","georeference.type","georeference.coordinates"
"2026-07-01T00:00:00.000","196","Aqueduct Racetrack (A)","Queens","19449.0","126.0","40.672096","-73.83592","Point","c(-73.83592, 40.672096)"
"2026-07-01T00:00:00.000","197","Aqueduct-N Conduit Av (A)","Queens","17067.0","95.0","40.668236","-73.83406","Point","c(-73.83406, 40.668236)"
"2026-07-01T00:00:00.000","198","Howard Beach-JFK Airport (A)","Queens","92053.0","620.0","40.660477","-73.8303","Point","c(-73.8303, 40.660477)"
"2026-07-01T00:00:00.000","199","Broad Channel (A,S)","Queens","5987.0","194.0","40.608383","-73.815926","Point","c(-73.815926, 40.608383)"
"2026-07-01T00:00:00.000","2","Astoria Blvd (N,W)","Queens","215850.0","15311.0","40.77026","-73.91785","Point","c(-73.91785, 40.77026)"
"2026-07-01T00:00:00.000","20","City Hall (R,W)","Manhattan","112676.0","679.0","40.713284","-74.00698","Point","c(-74.00698, 40.713284)"
"2026-07-01T00:00:00.000","200","Beach 90 St (A,S)","Queens","31197.0","269.0","40.588036","-73.813644","Point","c(-73.813644, 40.588036)"
"2026-07-01T00:00:00.000","201","Beach 98 St (A,S)","Queens","17937.0","106.0","40.585308","-73.82056","Point","c(-73.82056, 40.585308)"
"2026-07-01T00:00:00.000","202","Beach 105 St (A,S)","Queens","13882.0","216.0","40.58321","-73.82756","Point","c(-73.82756, 40.58321)"
"2026-07-01T00:00:00.000","203","Rockaway Park-Beach 116 St (A,S)","Queens","24049.0","2410.0","40.580902","-73.835594","Point","c(-73.835594, 40.580902)"
"2026-07-01T00:00:00.000","204","Beach 67 St (A)","Queens","56146.0","724.0","40.590927","-73.79692","Point","c(-73.79692, 40.590927)"
"2026-07-01T00:00:00.000","205","Beach 60 St (A)","Queens","34603.0","514.0","40.592373","-73.78852","Point","c(-73.78852, 40.592373)"
"2026-07-01T00:00:00.000","206","Beach 44 St (A)","Queens","12463.0","67.0","40.59294","-73.77602","Point","c(-73.77602, 40.59294)"
"2026-07-01T00:00:00.000","207","Beach 36 St (A)","Queens","18422.0","857.0","40.595398","-73.76817","Point","c(-73.76817, 40.595398)"
"2026-07-01T00:00:00.000","208","Beach 25 St (A)","Queens","27049.0","94.0","40.600067","-73.76135","Point","c(-73.76135, 40.600067)"
"2026-07-01T00:00:00.000","209","Far Rockaway-Mott Av (A)","Queens","95292.0","9503.0","40.603996","-73.7554","Point","c(-73.7554, 40.603996)"
"2026-07-01T00:00:00.000","210","Norwood-205 St (D)","Bronx","110658.0","10776.0","40.87481","-73.87885","Point","c(-73.87885, 40.87481)"
"2026-07-01T00:00:00.000","211","Bedford Park Blvd (B,D)","Bronx","124462.0","9534.0","40.873245","-73.88714","Point","c(-73.88714, 40.873245)"
"2026-07-01T00:00:00.000","212","Kingsbridge Rd (B,D)","Bronx","100977.0","6265.0","40.866978","-73.89351","Point","c(-73.89351, 40.866978)"
"2026-07-01T00:00:00.000","213","Fordham Rd (B,D)","Bronx","152057.0","9702.0","40.861298","-73.89775","Point","c(-73.89775, 40.861298)"
"2026-07-01T00:00:00.000","214","182-183 Sts (B,D)","Bronx","80297.0","484.0","40.856094","-73.90074","Point","c(-73.90074, 40.856094)"
"2026-07-01T00:00:00.000","215","Tremont Av (B,D)","Bronx","146107.0","13377.0","40.85041","-73.90523","Point","c(-73.90523, 40.85041)"
"2026-07-01T00:00:00.000","216","174-175 Sts (B,D)","Bronx","79220.0","468.0","40.8459","-73.91013","Point","c(-73.91013, 40.8459)"
"2026-07-01T00:00:00.000","217","170 St (B,D)","Bronx","119396.0","5886.0","40.839306","-73.9134","Point","c(-73.9134, 40.839306)"
"2026-07-01T00:00:00.000","218","167 St (B,D)","Bronx","144267.0","7734.0","40.83377","-73.91844","Point","c(-73.91844, 40.83377)"
"2026-07-01T00:00:00.000","22","Rector St (R,W)","Manhattan","127254.0","8816.0","40.70722","-74.01334","Point","c(-74.01334, 40.70722)"
"2026-07-01T00:00:00.000","220","155 St (B,D)","Manhattan","50463.0","318.0","40.830135","-73.93821","Point","c(-73.93821, 40.830135)"
"2026-07-01T00:00:00.000","221","21 St-Queensbridge (M)","Queens","207449.0","40869.0","40.754204","-73.94283","Point","c(-73.94283, 40.754204)"
"2026-07-01T00:00:00.000","222","Roosevelt Island (M)","Manhattan","186764.0","12941.0","40.759144","-73.95326","Point","c(-73.95326, 40.759144)"
