"nta2020","ntaname","n_tracts","boroname","n_boroughs","pop_total","households","pop_65plus","pop_disabled","pov_below","pov_universe","dis_universe","med_hh_income_hhwtd","inc_tracts_used","poverty_rate","pct_65plus","disability_rate"
"MN0191","The Battery-Governors Island-Ellis Island-Liberty Island",3,"Manhattan",1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"MN0201","SoHo-Little Italy-Hudson Square",6,"Manhattan",1,21220,11840,3795,1641,2217,20814,21220,147765,6,0.106514845776881,0.178840716305372,0.0773327049952875
"MN0202","Greenwich Village",7,"Manhattan",1,31628,15537,5561,2192,2303,26974,31603,175960,7,0.0853785126418032,0.175825218161123,0.069360503749644
"MN0203","West Village",7,"Manhattan",1,31913,18404,5375,2023,1987,31435,31848,183262,7,0.0632097979958645,0.168426659981826,0.063520472243155
"MN0301","Chinatown-Two Bridges",7,"Manhattan",1,38006,18246,9769,4945,13212,37707,37742,36726,6,0.350385869997613,0.257038362363837,0.131021143553601
"MN0302","Lower East Side",10,"Manhattan",1,47185,22062,10510,7898,11449,46572,46986,68630,10,0.245834406939792,0.222740277630603,0.16809262333461
"MN0303","East Village",14,"Manhattan",1,69437,33560,10217,9824,14024,64018,69269,96609,14,0.219063388422006,0.147140573469476,0.14182390391084
"MN0401","Chelsea-Hudson Yards",13,"Manhattan",1,62960,35994,10042,6334,7353,61708,62896,130722,13,0.11915796979322,0.159498094027954,0.100705927244976
"MN0402","Hell's Kitchen",10,"Manhattan",1,54743,32736,9073,6477,6648,54362,54715,108939,10,0.122291306427284,0.165738085234642,0.118377044686101
"MN0501","Midtown South-Flatiron-Union Square",8,"Manhattan",1,29148,15619,3521,1900,3366,26388,29122,186086,8,0.127557980900409,0.120797310278578,0.065242771787652
"MN0502","Midtown-Times Square",14,"Manhattan",1,23035,13384,5013,2613,2571,22694,23006,155770,12,0.113289856349696,0.217625352724115,0.113579066330522
"MN0601","Stuyvesant Town-Peter Cooper Village",2,"Manhattan",1,22040,10527,4097,1543,1835,22040,22040,164234,2,0.0832577132486388,0.185889292196007,0.0700090744101633
"MN0602","Gramercy",4,"Manhattan",1,25905,13459,3966,1828,2928,23428,25861,152659,4,0.124978658016049,0.153097857556456,0.0706855883376513
"MN0603","Murray Hill-Kips Bay",9,"Manhattan",1,53742,30641,9423,4348,5317,52043,53598,130997,9,0.102165516976346,0.175337724684604,0.0811224299414157
"MN0604","East Midtown-Turtle Bay",10,"Manhattan",1,42046,23587,11643,3331,3114,41818,42045,175362,10,0.0744655411545268,0.276911002235647,0.0792246402663813
"MN0661","United Nations",1,"Manhattan",1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"MN0701","Upper West Side-Lincoln Square",11,"Manhattan",1,69909,37142,14030,5844,7198,67696,69877,169470,11,0.106328291184117,0.200689467736629,0.0836326688323769
"MN0702","Upper West Side (Central)",12,"Manhattan",1,101153,48748,23265,9712,9045,100046,100282,161803,12,0.09040841213042,0.229998121657291,0.0968468917652221
"MN0703","Upper West Side-Manhattan Valley",6,"Manhattan",1,50132,22777,11518,6618,8156,48979,49526,108956,6,0.166520345454174,0.229753450889651,0.133626781892339
"MN0801","Upper East Side-Lenox Hill-Roosevelt Island",14,"Manhattan",1,77188,40586,14903,6758,6679,75540,76262,137957,14,0.0884167328567646,0.1930740529616,0.0886155621410401
"MN0802","Upper East Side-Carnegie Hill",14,"Manhattan",1,56073,27366,16925,4530,2811,55807,56052,210571,14,0.0503700252656477,0.301838674584916,0.0808178120316849
"MN0803","Upper East Side-Yorkville",14,"Manhattan",1,78549,43013,17939,7702,6251,78016,78002,149848,14,0.0801245898277276,0.228379737488701,0.0987410579215918
"MN0901","Morningside Heights",8,"Manhattan",1,37716,12431,6384,3973,6522,26104,37306,82777,8,0.249846766779038,0.169265033407572,0.106497614324773
"MN0902","Manhattanville-West Harlem",5,"Manhattan",1,21638,8346,2870,3442,6140,21168,21606,45385,4,0.290060468631897,0.132637027451705,0.159307599740813
"MN0903","Hamilton Heights-Sugar Hill",7,"Manhattan",1,53598,20276,7770,7456,12470,53230,53540,65609,7,0.23426639113282,0.144968095824471,0.139260366081434
"MN1001","Harlem (South)",10,"Manhattan",1,48446,21253,5297,5392,8910,48330,48446,77149,10,0.184357541899441,0.109338232258597,0.111299178466746
"MN1002","Harlem (North)",15,"Manhattan",1,86565,37462,11560,13824,26033,86012,86329,49748,15,0.302667069711203,0.133541269566222,0.160131589616467
"MN1101","East Harlem (South)",11,"Manhattan",1,61875,26904,10613,11360,18237,59534,61114,46953,11,0.306329156448416,0.171523232323232,0.185882121936054
"MN1102","East Harlem (North)",12,"Manhattan",1,63246,28197,8951,11290,19846,62593,62806,44772,12,0.317064208457815,0.141526736868735,0.17975989555138
"MN1191","Randall's Island",1,"Manhattan",1,2395,0,193,946,1511,2166,2211,NA,NA,0.697599261311173,0.0805845511482255,0.427860696517413
"MN1201","Washington Heights (South)",11,"Manhattan",1,76079,27997,14044,15538,18087,74629,75838,61497,11,0.24235886853636,0.184597589347915,0.204884095044701
"MN1202","Washington Heights (North)",12,"Manhattan",1,74030,29009,12632,9102,10411,72329,73187,84083,12,0.143939498679644,0.170633526948534,0.124366349215025
"MN1203","Inwood",6,"Manhattan",1,36850,15041,6140,6220,6002,36813,36850,69195,6,0.163040230353408,0.166621438263229,0.168792401628223
"MN1291","Highbridge Park",1,"Manhattan",1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"MN1292","Inwood Hill Park",1,"Manhattan",1,13,0,2,0,0,0,0,NA,NA,NA,0.153846153846154,NA
