"alteration_year","bbl","bin","borough","public_restroom","construction_year","description","doitt_id","doitt_source","gispropnum","ground_elevation","height_roof","location","omppropid","parks_district","system","recreation_center","featurestatus","demolition_year","maintby","maintbyspec","multipolygon.type","multipolygon.coordinates"
,"1014540001","1090506","M",FALSE,,"Queensboro Oval-Tennis Bubble","1283745","current","M070","13","53","West of York Ave., E 59 St. To E 60 St.","M070","M-08","M070-BLG5624",FALSE,"Active",,,,"MultiPolygon","[[[[-73.9606,40.7592],[-73.9598,40.7588],[-73.9595,40.7593],[-73.9603,40.7596],[-73.9606,40.7592]]]]"
,"1018190203","1090505","M",FALSE,,"Randall's Island Park-Building","1283744","current","M104","11","11","East River and Harlem River","M104-ZN04","M-11R","M104-ZN04-BLG8235",FALSE,"Active",,,,"MultiPolygon","[[[[-73.9227,40.7925],[-73.9228,40.7925],[-73.9228,40.7925],[-73.9228,40.7924],[-73.9227,40.7925]]]]"
,"2024820006","2128988","X",FALSE,,"Yankee Stadium Garages/Lots-Building","1283739","current","X237","25","8","Cromwell Ave. bet. E. 151 St. and E 153 St., Rover Ave. bet. E 150 St. and E. 164 St.","X237","X-04","X237-BLG2969",FALSE,"Active",,,,"MultiPolygon","[[[[-73.9273,40.8243],[-73.9274,40.8243],[-73.9274,40.8242],[-73.9273,40.8242],[-73.9273,40.8243],[-73.9273,40.8243],[-73.9273,40.8243]]]]"
,"1016560050","1052432","M",TRUE,"1960","Poor Richard's Playground Public Restroom","1283737","current","M230","9","15","East 109 Street between 2 & 3 Avenues","M230","M-11","M230-BLG1595",FALSE,"Active",,,,"MultiPolygon","[[[[-73.9431,40.793],[-73.9432,40.793],[-73.9431,40.7929],[-73.9431,40.793],[-73.9431,40.793]]]]"
,"3064620100","3425818","B",TRUE,"1938","Bath Beach Park Public Restroom","1283736","current","B164","15","0","Shore Pkwy. bet. Bay 14 St. and Bay 16 St.","B164","B-11","B164-BLG0001",FALSE,"Active",,,,"MultiPolygon","[[[[-74.0116,40.6023],[-74.0116,40.6023],[-74.0116,40.6023],[-74.0116,40.6023],[-74.0116,40.6023],[-74.0116,40.6023],[-74.0116,40.6023],[-74.0116,40.6023],[-74.0116,40.6023],[-74.0116,40.6023],[-74.0116,40.6023],[-74.0116,40.6023],[-74.0116,40.6023],[-74.0116,40.6023],[-74.0116,40.6023],[-74.0116,40.6023],[-74.0116,40.6023],[-74.0116,40.6023],[-74.0116,40.6023],[-74.0116,40.6023],[-74.0116,40.6023],[-74.0116,40.6023],[-74.0116,40.6023]]]]"
,"1018190203","1088067","M",FALSE,,"Randall's Island Park-Bridge Complex-Building","1281393","current","M104","10","20",,"M104-ZN02","M-11R","M104-ZN02-BLG1621",FALSE,"Inactive",,,,"MultiPolygon","[[[[-73.9264,40.8006],[-73.9265,40.8006],[-73.9262,40.8004],[-73.9262,40.8005],[-73.9264,40.8006]]]]"
,"1018970019","1089878","M",TRUE,"1937","Ellington in the Park","1273005","current","M071",,"20","Riverside Dr & W 105th St","M071-ZN20","M-14","M071-ZN20-BLG1484",FALSE,"Active",,,,"MultiPolygon","[[[[-73.9721,40.8024],[-73.972,40.8023],[-73.972,40.8023],[-73.9719,40.8024],[-73.9719,40.8024],[-73.9718,40.8027],[-73.9718,40.8027],[-73.9717,40.8028],[-73.9718,40.8028],[-73.9718,40.8027],[-73.9718,40.8027],[-73.9721,40.8024]]]]"
,"2043350001","2129459","X",FALSE,,"Pelham Bay Park-Pelham South Park Headquarters-Building","1289205","current","X039","25","0",,"X039-ZN02","X-15","X039-ZN02-BLG1406",FALSE,"Active",,,,"MultiPolygon","[[[[-73.824,40.8501],[-73.8239,40.8501],[-73.8239,40.8501],[-73.8239,40.8501],[-73.824,40.8501]]]]"
,"3049950026","3113806","B",TRUE,"1953","Nostrand Playground Public Restroom","1283731","current","B250","23","15","Nostrand & Foster Avenues","B250","B-17","B250-BLG1196",FALSE,"Active",,,,"MultiPolygon","[[[[-73.9474,40.6384],[-73.9475,40.6384],[-73.9475,40.6384],[-73.9474,40.6384],[-73.9474,40.6384]]]]"
,"3200349999","3424878","B",TRUE,,"West 27th Street Public Restroom","1281390","current","B169","8","0","Boardwalk at West 27th Street","B169-ZN07A","B-13","B169-ZN07A-BLG1145",FALSE,"Active",,,,"MultiPolygon","[[[[-73.9924,40.5717],[-73.9924,40.5716],[-73.9922,40.5716],[-73.9922,40.5716],[-73.9922,40.5716],[-73.9922,40.5717],[-73.9924,40.5717]]]]"
