"trackerid","fmsid","title","summary","currentphase","designpercentcomplete","procurementpercentcomplete","constructionpercentcomplete","designstart","designprojectedcompletion","designadjustedcompletion","designactualcompletion","procurementstart","procurementprojectedcompletion","totalfunding","projectliaison","lastupdated","fundingsource","name","parkid","latitude","longitude","borough","procurementactualcompletion","constructionstart","constructionprojectedcom","constructionadjustedcompletion","constructionactualcompletion","procurementadjustedcompletion"
"8613","846 P-3CPI3AL","Abraham Lincoln Playground Reconstruction","This project will reconstruct Abraham Lincoln Playground.","completed","100.0","100.0","100.0","2016-11-01T00:00:00.000","2017-11-01T00:00:00.000","2018-03-01T00:00:00.000","2018-10-01T00:00:00.000","2018-10-01T00:00:00.000","2019-07-01T00:00:00.000","$8,419,000","Steve Simon","2026-09-16T00:00:00.000","Mayoral","Fifth Avenue and East 135th Street","M193","40.812116","-73.937167","Manhattan","2020-01-01T00:00:00.000","2020-03-01T00:00:00.000","2021-09-01T00:00:00.000","2022-05-01T00:00:00.000","2022-05-01T00:00:00.000","2020-01-01T00:00:00.000"
"8683","846 P-3CPI3A2","Abraham Lincoln Playground Public Restroom Building Reconstruction","This project will reconstruct the public restroom building in Abraham Lincoln Playground.","completed","100.0","100.0","100.0","2017-02-01T00:00:00.000","2018-02-01T00:00:00.000",,"2018-01-01T00:00:00.000","2018-01-01T00:00:00.000","2018-10-01T00:00:00.000","$877,000","Steve Simon","2026-09-16T00:00:00.000","Mayoral","Fifth Avenue and East 135th Street","M193","40.812231","-73.937409","Manhattan","2019-03-01T00:00:00.000","2019-09-01T00:00:00.000","2021-03-01T00:00:00.000","2021-09-01T00:00:00.000","2022-05-01T00:00:00.000","2019-03-01T00:00:00.000"
"10112","846 P-503AESP","Aesop Park Playground Reconstruction","This project will reconstruct the playground, including play equipment and safety surface at Aesop Park.","completed","100.0","100.0","100.0","2022-06-01T00:00:00.000","2023-10-01T00:00:00.000",,"2023-11-01T00:00:00.000","2023-11-01T00:00:00.000","2024-11-01T00:00:00.000","$6,640,000","Katrina Toal","2026-09-16T00:00:00.000","Borough President, City Council","Page Avenue and Bartow Avenue","R027A","40.50958971","-74.23002393","Staten Island","2025-05-01T00:00:00.000","2025-06-01T00:00:00.000","2026-06-01T00:00:00.000",,"2026-06-01T00:00:00.000","2025-07-01T00:00:00.000"
"4514","846 P-112AGNS","Agnes Haywood Playground Reconstruction","This project will reconstruct Agnes Haywood Playground.","completed","100.0","100.0","100.0","2015-03-01T00:00:00.000","2016-02-01T00:00:00.000","2016-04-01T00:00:00.000","2016-04-01T00:00:00.000","2016-04-01T00:00:00.000","2017-01-01T00:00:00.000","$3,407,000","Katerine Borrome","2026-09-16T00:00:00.000","Borough PresidentCity CouncilMayoral","Barnes Avenue between East 215th Street and East 216th Street","X169","40.88029556","-73.86181389","Bronx","2017-06-01T00:00:00.000","2017-07-01T00:00:00.000","2018-07-01T00:00:00.000","2019-03-01T00:00:00.000","2019-03-01T00:00:00.000","2017-06-01T00:00:00.000"
"1135","846 P-102PL52","Kelly Playground Skate Park Reconstruction","This project will construct a skate park and reconstruct the amphitheater and basketball courts in Kelly Playground (PS 52).","completed","100.0","100.0","100.0","2011-06-01T00:00:00.000","2013-11-01T00:00:00.000","2015-03-01T00:00:00.000","2015-04-01T00:00:00.000","2015-04-01T00:00:00.000","2016-01-01T00:00:00.000","$2,887,000","Katerine Borrome","2026-09-16T00:00:00.000","Borough PresidentCity CouncilMayoral","Avenue Saint John between Kelly and Beck Streets","X179","40.814855","-73.901789","Bronx","2016-04-01T00:00:00.000","2016-05-01T00:00:00.000","2018-05-01T00:00:00.000",,"2018-07-01T00:00:00.000","2016-05-01T00:00:00.000"
"7030","846 P-6CPIBN4","Hunts Point, Playground 52, Carmansville, MLK, and Sol Lain Playgrounds Public Restroom Building Reconstruction","This project will reconstruct public restroom buildings in various locations in the Bronx and Manhattan.","completed","100.0","100.0","100.0","2015-02-01T00:00:00.000","2016-02-01T00:00:00.000",,"2016-02-01T00:00:00.000","2016-02-01T00:00:00.000","2016-10-01T00:00:00.000","$8,772,000","Contact Us","2026-09-16T00:00:00.000","Mayoral","Kelly St bet Av St John & Leggett Av","X179","40.815368","-73.901116","BronxManhattan","2016-07-01T00:00:00.000","2016-09-01T00:00:00.000","2018-01-01T00:00:00.000","2018-10-01T00:00:00.000","2018-10-01T00:00:00.000",
"7030","846 P-6CPIBN4","Hunts Point, Playground 52, Carmansville, MLK, and Sol Lain Playgrounds Public Restroom Building Reconstruction","This project will reconstruct public restroom buildings in various locations in the Bronx and Manhattan.","completed","100.0","100.0","100.0","2015-02-01T00:00:00.000","2016-02-01T00:00:00.000",,"2016-02-01T00:00:00.000","2016-02-01T00:00:00.000","2016-10-01T00:00:00.000","$8,772,000","Contact Us","2026-09-16T00:00:00.000","Mayoral","Amsterdam Av, W 151 St To W 152 St","M018","40.829056","-73.944274","BronxManhattan","2016-07-01T00:00:00.000","2016-09-01T00:00:00.000","2018-01-01T00:00:00.000","2018-10-01T00:00:00.000","2018-10-01T00:00:00.000",
"7030","846 P-6CPIBN4","Hunts Point, Playground 52, Carmansville, MLK, and Sol Lain Playgrounds Public Restroom Building Reconstruction","This project will reconstruct public restroom buildings in various locations in the Bronx and Manhattan.","completed","100.0","100.0","100.0","2015-02-01T00:00:00.000","2016-02-01T00:00:00.000",,"2016-02-01T00:00:00.000","2016-02-01T00:00:00.000","2016-10-01T00:00:00.000","$8,772,000","Contact Us","2026-09-16T00:00:00.000","Mayoral","Spofford Av bet Faile St & Hunts Point Av","X113","40.814122","-73.885877","BronxManhattan","2016-07-01T00:00:00.000","2016-09-01T00:00:00.000","2018-01-01T00:00:00.000","2018-10-01T00:00:00.000","2018-10-01T00:00:00.000",
"7030","846 P-6CPIBN4","Hunts Point, Playground 52, Carmansville, MLK, and Sol Lain Playgrounds Public Restroom Building Reconstruction","This project will reconstruct public restroom buildings in various locations in the Bronx and Manhattan.","completed","100.0","100.0","100.0","2015-02-01T00:00:00.000","2016-02-01T00:00:00.000",,"2016-02-01T00:00:00.000","2016-02-01T00:00:00.000","2016-10-01T00:00:00.000","$8,772,000","Contact Us","2026-09-16T00:00:00.000","Mayoral","Lenox Ave, W. 113 St. To W. 114 St.","M198","40.800471","-73.950425","BronxManhattan","2016-07-01T00:00:00.000","2016-09-01T00:00:00.000","2018-01-01T00:00:00.000","2018-10-01T00:00:00.000","2018-10-01T00:00:00.000",
"7030","846 P-6CPIBN4","Hunts Point, Playground 52, Carmansville, MLK, and Sol Lain Playgrounds Public Restroom Building Reconstruction","This project will reconstruct public restroom buildings in various locations in the Bronx and Manhattan.","completed","100.0","100.0","100.0","2015-02-01T00:00:00.000","2016-02-01T00:00:00.000",,"2016-02-01T00:00:00.000","2016-02-01T00:00:00.000","2016-10-01T00:00:00.000","$8,772,000","Contact Us","2026-09-16T00:00:00.000","Mayoral","Broadway, Henry St., Gouverneur St.","M235","40.714188","-73.984137","BronxManhattan","2016-07-01T00:00:00.000","2016-09-01T00:00:00.000","2018-01-01T00:00:00.000","2018-10-01T00:00:00.000","2018-10-01T00:00:00.000",
