ntaname,share_revealed_draws,share_any_weights,revealed_by_pilots,equal_law_factors,footfall_heavy,transit_heavy,equity_heavy,access_heavy,no_population,named_count,stability
Westerleigh-Castleton Corners,0,0.0115,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,weak
Mount Hope,0,0.01,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,weak
East New York-New Lots,0,0.0095,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,weak
Arden Heights-Rossville,0,0.009,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,weak
Bedford-Stuyvesant (East),0,0.009,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,weak
Randall's Island,0,0.009,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,weak
Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,0,0.0085,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,weak
Tottenville-Charleston,0,0.008,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,weak
Madison,0,0.007,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,weak
Bushwick (East),0,0.006,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,weak
College Point,0,0.006,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,weak
Longwood,0,0.0055,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,weak
Prospect Park,0,0.0055,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,weak
Lincoln Terrace Park,0,0.005,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,weak
St. Albans,0,0.005,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,weak
East Williamsburg,0,0.004,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,weak
North & South Brother Islands,0,0.004,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,weak
Annadale-Huguenot-Prince's Bay-Woodrow,0,0.0035,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,weak
Jamaica,0,0.003,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,weak
Van Cortlandt Park,0,0.003,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,weak
West New Brighton-Silver Lake-Grymes Hill,0,0.0025,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,weak
Fort Greene,0,0.002,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,weak
Queensbridge-Ravenswood-Dutch Kills,0,0.002,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,weak
Bronx Park,0,0.0015,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,weak
Crotona Park,0,0.0015,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,weak
Pelham Bay Park,0,0.0015,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,weak
Corona,0,0.001,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,weak
Bay Terrace-Clearview,0,0.0005,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,weak
Castle Hill-Unionport,0,0.0005,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,weak
East Elmhurst,0,0.0005,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,weak
Grasmere-Arrochar-South Beach-Dongan Hills,0,0.0005,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,weak
Oakwood-Richmondtown,0,0.0005,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,weak
Queens Village,0,0.0005,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,weak
Sunset Park (East)-Borough Park (West),0,0.0005,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,weak
