ntaname,type,lon,lat,residents,subway,jobs,dist_2pm_m,dist_9pm_m,poverty,borough,demand_pct,gap_type,n_broken,n_day_only,n_day_only_park,broken_names,day_names,first_action,order,stable_weights,stable_settings
Highbridge Park,park,-73.92604,40.85163,18243,1748269,3598,164,1162,0.173,Manhattan,69,evening-only,0,1,1,"",Wallenberg Playground,Keep a nearby park restroom open later,70,1,0.44
Upper West Side (Central),park,-73.97587,40.79627,20452,8784987,4131,72,777,0.173,Manhattan,69,evening-only,0,2,2,"",Hippo Playground; Dinosaur Playground,Keep a nearby park restroom open later,71,0.95,0.67
Ridgewood,plaza,-73.90938,40.69999,20718,6348452,3652,488,4340,0.1,Queens,69,evening-only,0,1,1,"",Bushwick Playground,Keep a nearby park restroom open later,72,0.86,0.67
Midtown-Times Square,busy_street,-73.9901,40.75575,10562,68837815,172654,395,1003,0.544,Manhattan,100,evening-only,0,1,1,"",McCaffrey Playground,Keep a nearby park restroom open later,73,1,1
Sunnyside,park,-73.92261,40.74086,18400,5935513,3825,30,3233,0.108,Queens,79,evening-only,0,2,1,"","L/CPL Thomas P. Noonan Jr. Playground; Sunnyside Library, QPL",Keep a nearby park restroom open later,74,1,0.67
Hamilton Heights-Sugar Hill,park,-73.94208,40.82462,31360,5975206,2588,158,2706,0.21,Manhattan,80,evening-only,0,3,3,"",Playground One Fifty Two CLII; Playground One Forty Nine CIL; Renaissance Playground,Keep a nearby park restroom open later,75,1,0.67
East Harlem (South),park,-73.94211,40.7841,16055,4512150,5210,247,2188,0.478,Manhattan,77,evening-only,0,1,1,"",Stanley Isaacs Playground,Keep a nearby park restroom open later,76,1,0.67
Jackson Heights,park,-73.89064,40.74759,19801,14907349,10076,475,3100,0.09,Queens,78,evening-only,0,1,1,"",Frank D. O'Connor Playground,Keep a nearby park restroom open later,77,1,0.83
Park Slope,busy_street,-73.97769,40.6801,16559,12302456,7421,348,2406,0.063,Brooklyn,75,evening-only,0,3,2,"","Dean Playground; Park Slope Playground; Pacific Library, BPL",Keep a nearby park restroom open later,78,0.75,0.83
Flatbush,busy_street,-73.94756,40.63282,11648,4169321,2814,326,2808,0.099,Brooklyn,72,evening-only,0,1,0,"","Clarendon Library, BPL",Extend another operator's hours,79,0.61,0.67
Morningside Heights,park,-73.96342,40.81518,9823,2115489,2708,108,1571,0.297,Manhattan,64,evening-only,0,2,2,"",Claremont; Wildlife Sanct. & 119 St Tennis Courts,Keep a nearby park restroom open later,80,1,0.56
Central Park,park,-73.96343,40.79086,11897,2286376,3454,325,1485,0.083,Manhattan,66,evening-only,0,2,2,"",North Meadow Recreation Center; Sol Bloom Playground,Keep a nearby park restroom open later,81,0.28,0.5
